program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(all2all),num_2q_gates(all2all),depth(all2all),depth_2q(all2all),num_gates(all2all_opt),num_2q_gates(all2all_opt),depth(all2all_opt),depth_2q(all2all_opt),num_gates(hhex),num_2q_gates(hhex),depth(hhex),depth_2q(hhex),num_gates(square),num_2q_gates(square),depth(square),depth_2q(square)
CH2_cmplt_BK,14,46210,19574,25135,19399,9145,5425,7650,5402,8883,4891,6789,4868,24784,15554,15985,11787,18566,11183,13123,9237
CH2_cmplt_JW,14,40128,21072,25087,19749,8637,5108,7235,5027,8777,4528,6427,4457,26801,17440,19930,15768,16600,9671,10882,7476
CH2_frz_BK,12,24136,10228,13438,10174,5543,3353,4539,3304,5441,3146,4204,3098,16074,9939,10661,7772,8317,4761,5951,3979
CH2_frz_JW,12,20892,10344,12701,9706,4681,2693,3934,2684,4748,2385,3495,2376,13574,8617,9828,7652,10083,5874,6944,4972
H2O_cmplt_BK,14,31012,13108,16893,12976,5891,3582,5075,3563,5708,3242,4537,3223,19067,12401,13705,10469,13706,8278,8868,6339
H2O_cmplt_JW,14,27120,14360,17205,13576,5902,3484,5023,3481,5964,3078,4445,3075,25244,15650,18488,13914,12722,7392,8173,5691
H2O_frz_BK,12,19104,8004,10371,7934,3991,2319,3199,2292,3863,2110,2856,2083,9823,6198,6868,5155,6165,3528,4462,3009
H2O_frz_JW,12,16192,8064,9941,7613,3640,2088,3069,2082,3687,1832,2708,1826,10366,6683,7833,6226,5545,2930,4025,2622
LiH_cmplt_BK,12,20100,8680,11289,8637,4116,2598,3531,2562,3945,2394,3176,2359,10241,6543,7409,5629,4399,2244,2998,1808
LiH_cmplt_JW,12,16192,8064,9966,7616,3605,2085,3039,2074,3677,1853,2713,1842,11153,7130,7732,6022,4685,2377,3407,2139
LiH_frz_BK,10,3566,1442,2064,1438,960,601,825,595,970,590,812,584,2471,1470,1673,1161,1185,631,798,497
LiH_frz_JW,10,3392,1616,2137,1576,776,438,643,433,785,386,570,381,2113,1400,1642,1285,1108,575,783,505
NH_cmplt_BK,12,19104,8004,10371,7934,3991,2319,3199,2292,3863,2110,2856,2083,9824,6195,6861,5145,6171,3536,4463,3013
NH_cmplt_JW,12,16192,8064,9941,7613,3640,2088,3069,2082,3687,1832,2708,1826,10366,6683,7833,6226,5545,2930,4025,2622
NH_frz_BK,10,10110,4178,5605,4160,2410,1433,1941,1418,2404,1387,1869,1372,6019,3410,4211,2867,3601,2048,2600,1759
NH_frz_JW,10,8432,3896,4989,3674,1967,1096,1645,1092,1988,960,1453,956,5559,3704,4437,3550,3433,1804,2380,1573
