program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(all2all),num_2q_gates(all2all),depth(all2all),depth_2q(all2all),num_gates(all2all_opt),num_2q_gates(all2all_opt),depth(all2all_opt),depth_2q(all2all_opt),num_gates(manhattan),num_2q_gates(manhattan),depth(manhattan),depth_2q(manhattan),num_gates(sycamore),num_2q_gates(sycamore),depth(sycamore),depth_2q(sycamore)
CH2_cmplt_BK,14,46210,19574,25135,19399,17646,9663,5550,4456,16543,9661,5297,4454,44772,34681,18805,16875,31033,21981,14200,12242
CH2_cmplt_JW,14,40128,21072,25087,19749,17202,9446,5439,4378,16170,9446,5231,4378,43936,34154,18817,16840,30055,21244,13539,11661
CH2_frz_BK,12,24136,10228,13438,10174,8422,4480,2961,2259,7725,4480,2731,2259,20908,16123,9170,8125,14043,9802,6748,5756
CH2_frz_JW,12,20892,10344,12701,9706,8574,4632,2982,2365,8027,4631,2862,2364,20596,15368,10852,9485,14311,9821,6915,5826
H2O_cmplt_BK,14,31012,13108,16893,12976,11340,6167,3679,2938,10574,6166,3518,2937,29130,22481,12645,11273,19731,13866,9001,7683
H2O_cmplt_JW,14,27120,14360,17205,13576,10892,5939,3649,2937,10168,5939,3498,2937,28446,21951,12296,10921,19003,13333,8852,7600
H2O_frz_BK,12,19104,8004,10371,7934,6154,3272,2289,1766,5635,3272,2144,1766,14834,11014,8045,6984,10317,7084,5135,4314
H2O_frz_JW,12,16192,8064,9941,7613,6132,3258,2249,1774,5663,3258,2142,1774,14349,10429,7834,6690,10091,6945,5119,4303
LiH_cmplt_BK,12,20100,8680,11289,8637,6204,3261,2236,1666,5623,3261,2034,1666,15062,11142,7882,6769,10195,7106,4990,4210
LiH_cmplt_JW,12,16192,8064,9966,7616,6372,3393,2289,1802,5916,3393,2185,1802,14650,10906,7754,6770,10464,7080,5090,4281
LiH_frz_BK,10,3566,1442,2064,1438,1204,618,514,365,1070,617,454,364,2580,1848,1484,1268,1790,1174,964,785
LiH_frz_JW,10,3392,1616,2137,1576,1147,610,501,390,1050,610,475,390,2453,1763,1445,1233,1825,1261,1053,892
NH_cmplt_BK,12,19104,8004,10371,7934,6154,3272,2289,1766,5635,3272,2144,1766,15645,11683,8120,6999,10342,7187,5101,4332
NH_cmplt_JW,12,16192,8064,9941,7613,6132,3258,2249,1774,5663,3258,2142,1774,14300,10649,7730,6688,10110,6942,5180,4359
NH_frz_BK,10,10110,4178,5605,4160,3314,1712,1225,944,3014,1712,1154,944,7243,5237,4002,3435,5141,3503,2608,2206
NH_frz_JW,10,8432,3896,4989,3674,3151,1644,1249,970,2885,1644,1188,970,6723,4776,3831,3237,4921,3316,2641,2208
