program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(all2all),num_2q_gates(all2all),depth(all2all),depth_2q(all2all),num_gates(all2all_opt),num_2q_gates(all2all_opt),depth(all2all_opt),depth_2q(all2all_opt),num_gates(hhex),num_2q_gates(hhex),depth(hhex),depth_2q(hhex),num_gates(square),num_2q_gates(square),depth(square),depth_2q(square)
CH2_cmplt_BK,14,46210,19574,25135,19399,28848,3826,13575,3090,11250,3826,6115,3090,22238,13203,12453,9009,17148,8869,9675,6371
CH2_cmplt_JW,14,40128,21072,25087,19749,27393,3588,12357,2819,10572,3588,5562,2819,20673,11630,11791,8396,16705,8775,9651,6529
CH2_frz_BK,12,24136,10228,13438,10174,15892,2096,7603,1709,6188,2096,3394,1709,11638,6598,6654,4738,9229,4733,5262,3484
CH2_frz_JW,12,20892,10344,12701,9706,13786,1806,6435,1457,5355,1806,2890,1457,9946,5427,5758,4032,8270,4212,4897,3266
H2O_cmplt_BK,14,31012,13108,16893,12976,20314,2685,9775,2207,7878,2685,4369,2207,15129,8779,8491,6051,11872,6097,6867,4531
H2O_cmplt_JW,14,27120,14360,17205,13576,17958,2357,8288,1890,6952,2357,3738,1890,13383,7536,7676,5487,10890,5655,6424,4317
H2O_frz_BK,12,19104,8004,10371,7934,9632,1266,4639,1053,3741,1266,2090,1053,6495,3490,3942,2673,5473,2741,3317,2168
H2O_frz_JW,12,16192,8064,9941,7613,10910,1425,5253,1191,4195,1425,2350,1191,7602,4120,4476,3156,6486,3309,3888,2585
LiH_cmplt_BK,12,20100,8680,11289,8637,9773,1280,4806,1062,3788,1280,2106,1062,6711,3650,3972,2757,5477,2724,3334,2174
LiH_cmplt_JW,12,16192,8064,9966,7616,10776,1401,5108,1147,4146,1401,2267,1147,7548,4077,4445,3114,6416,3260,3757,2490
LiH_frz_BK,10,3566,1442,2064,1438,2765,361,1458,318,1075,361,630,318,1780,960,1128,781,1457,692,873,552
LiH_frz_JW,10,3392,1616,2137,1576,2480,322,1293,286,957,322,565,286,1622,820,1020,694,1388,678,885,561
NH_cmplt_BK,12,19104,8004,10371,7934,9527,1266,4646,1053,3736,1266,2089,1053,6520,3560,3904,2682,5490,2765,3419,2228
NH_cmplt_JW,12,16192,8064,9941,7613,11039,1425,5324,1191,4201,1425,2358,1191,7699,4130,4529,3174,6430,3224,3978,2655
NH_frz_BK,10,10110,4178,5605,4160,7560,978,3781,835,2886,978,1654,835,5216,2909,3070,2194,4193,2103,2529,1658
NH_frz_JW,10,8432,3896,4989,3674,5941,767,2947,659,2267,767,1307,659,4029,2191,2470,1743,3432,1718,2184,1440
