program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(all2all),num_2q_gates(all2all),depth(all2all),depth_2q(all2all),num_gates(all2all_opt),num_2q_gates(all2all_opt),depth(all2all_opt),depth_2q(all2all_opt),num_gates(manhattan),num_2q_gates(manhattan),depth(manhattan),depth_2q(manhattan),num_gates(sycamore),num_2q_gates(sycamore),depth(sycamore),depth_2q(sycamore)
CH2_cmplt_BK,14,46210,19574,25135,19399,6105,2875,2759,1735,5344,2859,2468,1725,16346,11682,8704,7149,11207,7702,6210,5017
CH2_cmplt_JW,14,40128,21072,25087,19749,6245,2903,2711,1725,5429,2893,2420,1715,16757,12023,9169,7600,11583,7721,6449,5134
CH2_frz_BK,12,24136,10228,13438,10174,3418,1586,1632,1027,2983,1574,1445,1016,8670,6055,5119,4196,6077,3993,3527,2784
CH2_frz_JW,12,20892,10344,12701,9706,3525,1629,1509,972,3088,1614,1366,961,8871,6243,4954,4066,6293,4203,3433,2735
H2O_cmplt_BK,14,31012,13108,16893,12976,4307,2027,1952,1250,3781,2016,1755,1239,11524,8122,6262,5172,7906,5327,4401,3497
H2O_cmplt_JW,14,27120,14360,17205,13576,4332,2025,1896,1242,3810,2016,1723,1236,11590,8301,6067,4975,8005,5343,4320,3425
H2O_frz_BK,12,19104,8004,10371,7934,2599,1192,1231,762,2276,1183,1091,754,6186,4217,3767,3012,4429,2954,2583,2081
H2O_frz_JW,12,16192,8064,9941,7613,2583,1181,1162,743,2265,1170,1048,734,6325,4315,3736,3031,4446,2863,2523,1983
LiH_cmplt_BK,12,20100,8680,11289,8637,2666,1252,1233,773,2324,1240,1087,763,6741,4694,3975,3234,4763,3214,2715,2157
LiH_cmplt_JW,12,16192,8064,9966,7616,2739,1228,1195,760,2356,1223,1064,756,6677,4698,3928,3219,4819,3206,2714,2174
LiH_frz_BK,10,3566,1442,2064,1438,672,281,320,190,551,275,273,185,1412,950,812,648,1060,639,605,453
LiH_frz_JW,10,3392,1616,2137,1576,662,281,289,176,534,277,250,173,1435,1011,844,709,989,654,581,469
NH_cmplt_BK,12,19104,8004,10371,7934,2599,1192,1231,762,2276,1183,1091,754,6174,4215,3655,2914,4400,2916,2583,2053
NH_cmplt_JW,12,16192,8064,9941,7613,2583,1181,1162,743,2265,1170,1048,734,6191,4255,3569,2917,4464,2897,2525,1992
NH_frz_BK,10,10110,4178,5605,4160,1475,647,716,429,1259,637,617,422,3105,2130,1933,1563,2369,1525,1404,1098
NH_frz_JW,10,8432,3896,4989,3674,1474,658,690,444,1279,650,615,437,3195,2101,1972,1570,2404,1527,1393,1086
