program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(all2all),num_2q_gates(all2all),depth(all2all),depth_2q(all2all),num_gates(all2all_opt),num_2q_gates(all2all_opt),depth(all2all_opt),depth_2q(all2all_opt),num_gates(hhex),num_2q_gates(hhex),depth(hhex),depth_2q(hhex),num_gates(square),num_2q_gates(square),depth(square),depth_2q(square)
CH2_cmplt_BK,14,46210,19574,25135,19399,18108,9634,13259,9377,14764,7118,10612,6937,24814,14149,16261,11070,21054,11998,13589,9343
CH2_cmplt_JW,14,40128,21072,25087,19749,19654,10774,14224,10302,15291,6874,10458,6554,25844,14492,16876,11715,23104,12952,14673,10246
CH2_frz_BK,12,24136,10228,13438,10174,9992,5302,7526,5283,8138,3915,5989,3900,14420,8035,9468,6458,11444,6577,7673,5331
CH2_frz_JW,12,20892,10344,12701,9706,10736,5804,7482,5372,8371,3715,5512,3422,12044,6558,7691,5301,12224,6675,7757,5359
H2O_cmplt_BK,14,31012,13108,16893,12976,12424,6602,9311,6590,9957,4858,7380,4847,16380,9329,10704,7346,14511,8325,9271,6465
H2O_cmplt_JW,14,27120,14360,17205,13576,13214,7254,9347,6779,10317,4679,6910,4360,17453,9620,11378,7874,14964,8321,9152,6375
H2O_frz_BK,12,19104,8004,10371,7934,7186,3876,5542,3854,5863,2711,4298,2693,9321,4980,6290,4151,7806,4340,5495,3718
H2O_frz_JW,12,16192,8064,9941,7613,8294,4486,5747,4128,6473,2880,4247,2641,10696,6023,7056,4947,9561,5170,5982,4068
LiH_cmplt_BK,12,20100,8680,11289,8637,7164,3820,5364,3710,5937,2729,4213,2641,9017,4857,5765,3822,7606,3982,4940,3219
LiH_cmplt_JW,12,16192,8064,9966,7616,8294,4486,5748,4128,6431,2834,4195,2593,9741,5167,6296,4259,9219,5100,5836,4037
LiH_frz_BK,10,3566,1442,2064,1438,1794,948,1340,937,1469,754,1090,743,2711,1579,1780,1261,1878,1051,1189,824
LiH_frz_JW,10,3392,1616,2137,1576,1810,962,1345,957,1407,611,987,608,2589,1409,1591,1078,1876,950,1137,742
NH_cmplt_BK,12,19104,8004,10371,7934,7186,3876,5542,3854,5863,2711,4298,2693,8968,4718,6049,3942,7637,4306,5326,3622
NH_cmplt_JW,12,16192,8064,9941,7613,8294,4486,5747,4128,6473,2880,4247,2641,10520,5895,6946,4856,9582,5276,6088,4210
NH_frz_BK,10,10110,4178,5605,4160,4540,2448,3413,2437,3635,1804,2685,1795,6558,3610,4228,2858,4977,2825,3285,2272
NH_frz_JW,10,8432,3896,4989,3674,4562,2426,3153,2236,3578,1570,2345,1439,5573,3102,3831,2653,4774,2500,3075,2071
