program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(all2all),num_2q_gates(all2all),depth(all2all),depth_2q(all2all),num_gates(all2all_opt),num_2q_gates(all2all_opt),depth(all2all_opt),depth_2q(all2all_opt),num_gates(hhex),num_2q_gates(hhex),depth(hhex),depth_2q(hhex),num_gates(square),num_2q_gates(square),depth(square),depth_2q(square)
CH2_cmplt_BK,14,46210,19574,25135,19399,9794,6463,7696,5780,9794,6463,7696,5780,36070,29845,19865,17421,22834,18216,14194,12142
CH2_cmplt_JW,14,40128,21072,25087,19749,8710,5545,6646,4805,8710,5545,6646,4805,31460,26209,16980,14856,20169,16018,12822,10775
CH2_frz_BK,12,24136,10228,13438,10174,5662,3646,4508,3332,5662,3646,4508,3332,19264,15875,10880,9507,12695,9949,8306,7020
CH2_frz_JW,12,20892,10344,12701,9706,4726,2916,3574,2524,4726,2916,3574,2524,15284,12402,8798,7557,10189,7759,6531,5359
H2O_cmplt_BK,14,31012,13108,16893,12976,7110,4532,5534,4038,7110,4532,5534,4038,24836,19870,14612,12446,16121,12561,10256,8646
H2O_cmplt_JW,14,27120,14360,17205,13576,6257,4071,4904,3588,6257,4071,4904,3588,23384,19326,12772,11136,14883,11668,9811,8260
H2O_frz_BK,12,19104,8004,10371,7934,4635,2952,3622,2676,4635,2952,3622,2676,15587,12407,9451,8102,10300,7937,6665,5552
H2O_frz_JW,12,16192,8064,9941,7613,3866,2437,2987,2133,3866,2437,2987,2133,12668,10045,7501,6413,8453,6463,5393,4477
LiH_cmplt_BK,12,20100,8680,11289,8637,4376,2865,3523,2640,4376,2865,3523,2640,15301,12721,8871,7803,9923,7876,6378,5447
LiH_cmplt_JW,12,16192,8064,9966,7616,3489,2083,2594,1801,3489,2083,2594,1801,10816,8566,6310,5366,7165,5378,4534,3667
LiH_frz_BK,10,3566,1442,2064,1438,767,461,618,432,767,461,618,432,2069,1653,1229,1053,1362,1017,924,744
LiH_frz_JW,10,3392,1616,2137,1576,727,413,537,365,727,413,537,365,1834,1384,1148,946,1226,860,808,626
NH_cmplt_BK,12,19104,8004,10371,7934,4635,2952,3622,2676,4635,2952,3622,2676,15845,12577,9521,8136,10199,7900,6616,5569
NH_cmplt_JW,12,16192,8064,9941,7613,3866,2437,2987,2133,3866,2437,2987,2133,12587,9978,7645,6516,8473,6360,5653,4625
NH_frz_BK,10,10110,4178,5605,4160,2539,1578,1945,1400,2539,1578,1945,1400,7591,5879,4900,4124,5144,3875,3368,2776
NH_frz_JW,10,8432,3896,4989,3674,2127,1296,1605,1113,2127,1296,1605,1113,6073,4574,3734,3087,4187,3087,2669,2149
