category,program,num_qubits,num_paulis,t_count,t_depth,elapsed
binaryoptimization,flat100-4-flat100-7.cnf-90-cc,90,223,22979,937,1.231
binaryoptimization,graph-complete_bipart-complbipart-n-10_a-5_b-5,10,75,7800,2184,0.247
binaryoptimization,graph-gnp_k-2-gnp-k_2_n-4_rinst-05,4,12,1248,936,0.139
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-40_rinst-07,40,804,83616,6240,2.351
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-6_rinst-15,6,45,4680,2184,0.673
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-24_rinst-04,24,188,19552,2496,1.013
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-60_rinst-19,60,1971,204984,11544,3.641
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-90_rinst-02,90,2958,307632,10920,4.749
binaryoptimization,graph-regular_reg-4-reg-4_n-90_rinst-07,90,540,56160,1872,1.718
binaryoptimization,uf100-2-uf100-0396.cnf-46-res,46,271,28478,2853,1.943
binaryoptimization,uf100-2-uf100-0601.cnf-46-res,46,284,29851,2957,1.786
binaryoptimization,uf100-4-uf100-0246.cnf-70-res,70,688,72582,4978,4.031
binaryoptimization,uf20-7-uf20-0384.cnf-8-res,8,29,3029,1155,0.538
binaryoptimization,uuf100-0-uuf100-0810.cnf-40-res,40,187,19594,2118,1.551
binaryoptimization,uuf100-8-uuf100-0509.cnf-40-cc,40,206,21594,2323,1.233
chemistry,BH-JW-10,10,275,28087,15829,3.974
chemistry,Be2-JW-6,6,61,6238,3576,1.87
chemistry,C2-JW-18,18,1883,193139,98125,28.051
chemistry,H2-JW-8,8,184,18863,10156,2.788
chemistry,HF-BK12,12,630,68572,47743,8.05
chemistry,HF-parity10,10,275,28195,17449,3.958
chemistry,Li2-JW14,14,669,68299,31311,7.242
chemistry,LiH-parity-4,4,26,2674,1852,0.679
chemistry,N2-JW-22,22,4577,469552,243913,111.344
chemistry,N2-parity-14,14,669,68817,46740,9.145
chemistry,NH-BK-14,14,1085,118222,77130,17.021
chemistry,NH-JW-14,14,1085,111058,60695,12.537
chemistry,Na2-JW24,24,6508,696974,377340,223.019
chemistry,O3-BK22,22,5465,602653,405162,182.85
chemistry,OH-JW10,10,275,28143,15864,4.157
chemistry,OH-JW12,12,630,64450,36485,9.487
chemistry,OH-parity12,12,630,64466,39034,9.23
chemistry,all-vib-bh-enc_stdbinary_dvalues_d-level-4,2,9,921,718,0.364
chemistry,all-vib-bhf2-mu_y_prime_enc_stdbinary_dvalues_8-8-8-8-8-8,6,24,2439,1027,0.853
chemistry,all-vib-c2h-mu_y_prime_enc_stdbinary_dvalues_8-8-4-4,3,12,1236,1030,0.874
chemistry,all-vib-c2h-mu_z_prime_enc_gray_dvalues_4-4-4-4,4,8,810,308,0.435
chemistry,all-vib-ch2-mu_y_prime_enc_gray_dvalues_16-16-16,4,32,3276,1745,1.47
chemistry,all-vib-cyclo_propene-mu_x_prime_enc_stdbinary_dvalues_8-8-8-8-8-8-8-8-8-4-4-4-4-4-4,11,40,4101,1028,1.158
chemistry,all-vib-cyclo_propene-mu_x_prime_enc_unary_dvalues_16-16-16-16-16-16-16-16-16-16-16-16-16-16-16,64,120,12290,422,1.131
chemistry,all-vib-f2-enc_gray_dvalues_d-level-16,4,98,11121,7314,2.995
chemistry,all-vib-fccf-enc_gray_dvalues_4-4-4-4-4-4-4,14,1035,107607,60317,12.632
chemistry,all-vib-fccf-mu_y_prime_enc_stdbinary_dvalues_16-16-16-16-8-8-8,4,32,3278,2767,1.4
chemistry,all-vib-fccf-mu_y_prime_enc_unary_dvalues_8-8-8-8-8-8-8,8,14,1440,616,0.447
chemistry,all-vib-fccf-mu_z_prime_enc_unary_dvalues_16-16-16-16-16-16-16,16,30,3072,614,0.952
chemistry,all-vib-h2co-mu_y_prime_enc_unary_dvalues_16-16-16-16-16-16,32,60,6158,418,0.726
chemistry,all-vib-hc3h2cn-mu_y_prime_enc_stdbinary_dvalues_4-4-4-4-4-4-4-4-4-4-4-4-4-4-4-4-4-4,24,48,4936,415,0.754
chemistry,all-vib-hco-enc_unary_dvalues_4-4-4,12,1788,183268,95511,19.956
chemistry,all-vib-hno-mu_x_prime_enc_unary_dvalues_4-4-4,12,18,1844,618,0.473
chemistry,all-vib-o3-enc_gray_dvalues_8-8-8,9,2801,298822,184681,37.239
chemistry,all-vib-o3-mu_y_prime_enc_unary_dvalues_4-4-4,4,6,614,416,0.465
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-nonpbc-qubitnodes_Lx-12_U-40_enc-unary_d-4,48,816,82716,16318,4.601
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-pbc-qubitnodes_Lx-14_U-10_enc-stdbinary_d-4,28,490,54922,7120,2.673
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-pbc-qubitnodes_Lx-24_U-20_enc-stdbinary_d-4,48,840,94080,7113,3.47
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-pbc-qubitnodes_Lx-46_U-2_enc-gray_d-4,92,1610,165600,53441,8.66
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-pbc-qubitnodes_Lx-60_U-10_enc-stdbinary_d-4,120,2100,235380,7120,9.107
condensedmatter,BH_D-1_d-8-bh_graph-1D-grid-pbc-qubitnodes_Lx-10_U-30_enc-unary_d-8,80,3980,405290,63868,21.749
condensedmatter,BH_D-1_d-8-bh_graph-1D-grid-pbc-qubitnodes_Lx-4_U-40_enc-gray_d-8,12,1176,120532,37285,6.985
