category,program,num_qubits,num_paulis,t_count,t_depth,elapsed
binaryoptimization,flat100-4-flat100-7.cnf-90-cc,90,223,23012,1043,2.011
binaryoptimization,graph-complete_bipart-complbipart-n-10_a-5_b-5,10,75,7800,3536,0.907
binaryoptimization,graph-gnp_k-2-gnp-k_2_n-4_rinst-05,4,12,1248,728,0.845
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-40_rinst-07,40,804,83616,41080,2.976
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-6_rinst-15,6,45,4680,2392,0.88
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-24_rinst-04,24,188,19552,4680,0.881
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-60_rinst-19,60,1971,204984,108472,13.068
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-90_rinst-02,90,2958,307632,169624,57.519
binaryoptimization,graph-regular_reg-4-reg-4_n-90_rinst-07,90,540,56160,14144,2.58
binaryoptimization,uf100-2-uf100-0396.cnf-46-res,46,271,28478,7820,1.211
binaryoptimization,uf100-2-uf100-0601.cnf-46-res,46,284,29858,6012,1.107
binaryoptimization,uf100-4-uf100-0246.cnf-70-res,70,688,72582,17122,2.392
binaryoptimization,uf20-7-uf20-0384.cnf-8-res,8,29,3027,1153,0.899
binaryoptimization,uuf100-0-uuf100-0810.cnf-40-res,40,187,19600,4217,1.069
binaryoptimization,uuf100-8-uuf100-0509.cnf-40-cc,40,206,21594,4646,1.035
chemistry,BH-JW-10,10,275,28055,17062,2.176
chemistry,Be2-JW-6,6,61,6242,3378,1.18
chemistry,C2-JW-18,18,1883,193719,116729,11.411
chemistry,H2-JW-8,8,184,18914,10532,1.811
chemistry,HF-BK12,12,630,69053,41109,4.449
chemistry,HF-parity10,10,275,29340,17573,2.672
chemistry,Li2-JW14,14,669,69305,40376,4.225
chemistry,LiH-parity-4,4,26,2674,1548,0.943
chemistry,N2-JW-22,22,4577,476561,287351,40.991
chemistry,N2-parity-14,14,669,68888,41740,4.362
chemistry,NH-BK-14,14,1085,121782,69411,8.541
chemistry,NH-JW-14,14,1085,111530,67966,7.005
chemistry,Na2-JW24,24,6508,672576,418744,77.828
chemistry,O3-BK22,22,5465,564726,355481,57.91
chemistry,OH-JW10,10,275,28172,17141,2.477
chemistry,OH-JW12,12,630,71534,41092,5.075
chemistry,OH-parity12,12,630,65080,38290,4.485
chemistry,all-vib-bh-enc_stdbinary_dvalues_d-level-4,2,9,1224,919,0.878
chemistry,all-vib-bhf2-mu_y_prime_enc_stdbinary_dvalues_8-8-8-8-8-8,6,24,2439,720,0.971
chemistry,all-vib-c2h-mu_y_prime_enc_stdbinary_dvalues_8-8-4-4,3,12,1236,728,0.884
chemistry,all-vib-c2h-mu_z_prime_enc_gray_dvalues_4-4-4-4,4,8,810,206,1.683
chemistry,all-vib-ch2-mu_y_prime_enc_gray_dvalues_16-16-16,4,32,3380,1547,1.784
chemistry,all-vib-cyclo_propene-mu_x_prime_enc_stdbinary_dvalues_8-8-8-8-8-8-8-8-8-4-4-4-4-4-4,11,40,4201,725,1.171
chemistry,all-vib-cyclo_propene-mu_x_prime_enc_unary_dvalues_16-16-16-16-16-16-16-16-16-16-16-16-16-16-16,64,120,12290,624,2.412
chemistry,all-vib-f2-enc_gray_dvalues_d-level-16,4,98,11110,6177,2.388
chemistry,all-vib-fccf-enc_gray_dvalues_4-4-4-4-4-4-4,14,1035,108171,62921,8.716
chemistry,all-vib-fccf-mu_y_prime_enc_stdbinary_dvalues_16-16-16-16-8-8-8,4,32,3278,1644,1.029
chemistry,all-vib-fccf-mu_y_prime_enc_unary_dvalues_8-8-8-8-8-8-8,8,14,1440,519,1.733
chemistry,all-vib-fccf-mu_z_prime_enc_unary_dvalues_16-16-16-16-16-16-16,16,30,3072,519,1.36
chemistry,all-vib-h2co-mu_y_prime_enc_unary_dvalues_16-16-16-16-16-16,32,60,6158,823,1.338
chemistry,all-vib-hc3h2cn-mu_y_prime_enc_stdbinary_dvalues_4-4-4-4-4-4-4-4-4-4-4-4-4-4-4-4-4-4,24,48,6151,414,2.038
chemistry,all-vib-hco-enc_unary_dvalues_4-4-4,12,1788,184094,112983,11.302
chemistry,all-vib-hno-mu_x_prime_enc_unary_dvalues_4-4-4,12,18,1844,311,1.751
chemistry,all-vib-o3-enc_gray_dvalues_8-8-8,9,2801,289367,138045,20.173
chemistry,all-vib-o3-mu_y_prime_enc_unary_dvalues_4-4-4,4,6,614,416,0.919
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-nonpbc-qubitnodes_Lx-12_U-40_enc-unary_d-4,48,816,84917,20764,2.779
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-pbc-qubitnodes_Lx-14_U-10_enc-stdbinary_d-4,28,490,52221,15279,2.619
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-pbc-qubitnodes_Lx-24_U-20_enc-stdbinary_d-4,48,840,89122,14584,3.306
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-pbc-qubitnodes_Lx-46_U-2_enc-gray_d-4,92,1610,195848,9252,4.808
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-pbc-qubitnodes_Lx-60_U-10_enc-stdbinary_d-4,120,2100,222394,26916,8.369
condensedmatter,BH_D-1_d-8-bh_graph-1D-grid-pbc-qubitnodes_Lx-10_U-30_enc-unary_d-8,80,3980,418745,186418,75.918
condensedmatter,BH_D-1_d-8-bh_graph-1D-grid-pbc-qubitnodes_Lx-4_U-40_enc-gray_d-8,12,1176,125444,50900,5.137
