category,program,num_qubits,num_paulis,t_count,t_depth,elapsed
binaryoptimization,graph-gnp_k-2-gnp-k_2_n-4_rinst-05,4,12,1248,624,1.301
chemistry,all-vib-o3-mu_y_prime_enc_unary_dvalues_4-4-4,4,6,614,412,1.312
chemistry,all-vib-c2h-mu_z_prime_enc_gray_dvalues_4-4-4-4,4,8,810,308,1.322
chemistry,all-vib-fccf-mu_y_prime_enc_unary_dvalues_8-8-8-8-8-8-8,8,14,1440,824,1.344
chemistry,all-vib-c2h-mu_y_prime_enc_stdbinary_dvalues_8-8-4-4,3,12,1236,926,1.359
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-6_rinst-15,6,45,4680,2184,1.373
chemistry,all-vib-bh-enc_stdbinary_dvalues_d-level-4,2,9,1025,820,1.378
chemistry,all-vib-hno-mu_x_prime_enc_unary_dvalues_4-4-4,12,18,1844,411,1.396
chemistry,LiH-parity-4,4,26,2674,1956,1.423
chemistry,all-vib-bhf2-mu_y_prime_enc_stdbinary_dvalues_8-8-8-8-8-8,6,24,2439,928,1.428
binaryoptimization,uf20-7-uf20-0384.cnf-8-res,8,29,3027,840,1.46
chemistry,all-vib-fccf-mu_z_prime_enc_unary_dvalues_16-16-16-16-16-16-16,16,30,3072,1637,1.454
condensedmatter,tfim-graph-1D-grid-pbc-qubitnodes_Lx-16_h-2,16,32,3152,394,1.448
chemistry,all-vib-ch2-mu_y_prime_enc_gray_dvalues_16-16-16,4,32,3276,1641,1.457
chemistry,all-vib-fccf-mu_y_prime_enc_stdbinary_dvalues_16-16-16-16-8-8-8,4,32,3278,1954,1.464
chemistry,all-vib-cyclo_propene-mu_x_prime_enc_stdbinary_dvalues_8-8-8-8-8-8-8-8-8-4-4-4-4-4-4,11,40,4101,935,1.574
binaryoptimization,graph-complete_bipart-complbipart-n-10_a-5_b-5,10,75,7800,3744,1.602
chemistry,Be2-JW-6,6,61,6238,3182,1.734
discreteoptimization,TSP_Ncity-4-tsp_rand-002_Ncity-4_enc-stdbinary,8,48,4940,1552,1.829
condensedmatter,tfim-graph-1D-grid-pbc-qubitnodes_Lx-26_h-6,26,52,5304,408,1.919
chemistry,all-vib-f2-enc_gray_dvalues_d-level-16,4,98,10092,7123,2.004
chemistry,all-vib-hc3h2cn-mu_y_prime_enc_stdbinary_dvalues_4-4-4-4-4-4-4-4-4-4-4-4-4-4-4-4-4-4,24,48,4933,313,2.004
chemistry,H2-JW-8,8,184,18831,9838,2.791
chemistry,all-vib-h2co-mu_y_prime_enc_unary_dvalues_16-16-16-16-16-16,32,60,6158,1644,2.819
chemistry,HF-parity10,10,275,28195,13442,3.807
chemistry,OH-JW10,10,275,28167,13960,3.811
chemistry,BH-JW-10,10,275,28083,13934,3.936
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-pbc-qubitnodes_Lx-14_U-10_enc-stdbinary_d-4,28,490,50652,27843,5.933
chemistry,OH-JW12,12,630,64450,39749,7.134
chemistry,HF-BK12,12,630,64649,37791,7.241
chemistry,OH-parity12,12,630,64450,39748,7.326
chemistry,Li2-JW14,14,669,68290,35203,7.701
chemistry,N2-parity-14,14,669,68789,35444,8.101
discreteoptimization,TSP_Ncity-5-tsp_prob-ts225_Ncity-5_enc-unary,25,125,12860,1843,8.245
condensedmatter,BH_D-1_d-8-bh_graph-1D-grid-pbc-qubitnodes_Lx-4_U-40_enc-gray_d-8,12,1176,120532,60047,8.409
chemistry,NH-BK-14,14,1085,111166,57756,12.709
chemistry,NH-JW-14,14,1085,111049,58477,12.718
chemistry,all-vib-fccf-enc_gray_dvalues_4-4-4-4-4-4-4,14,1035,106179,55086,13.199
condensedmatter,BH_D-2_d-4-bh_graph-2D-triag-nonpbc-qubitnodes_Lx-3_Ly-5_U-30_enc-gray_d-4,28,938,97015,35849,14.069
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-pbc-qubitnodes_Lx-24_U-20_enc-stdbinary_d-4,48,840,86616,48518,15.808
chemistry,all-vib-cyclo_propene-mu_x_prime_enc_unary_dvalues_16-16-16-16-16-16-16-16-16-16-16-16-16-16-16,64,120,12282,1642,16.582
chemistry,all-vib-hco-enc_unary_dvalues_4-4-4,12,1788,183157,90389,17.321
condensedmatter,BH_D-3_d-4-bh_graph-3D-grid-nonpbc-qubitnodes_Lx-2_Ly-2_Lz-2_U-20_enc-unary_d-4,32,880,89406,41029,20.055
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-24_rinst-04,24,188,19552,3016,23.295
chemistry,all-vib-o3-enc_gray_dvalues_8-8-8,9,2801,287244,155452,24.81
chemistry,C2-JW-18,18,1883,193023,94809,25.232
binaryoptimization,uuf100-0-uuf100-0810.cnf-40-res,40,187,19600,2954,26.649
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-40_rinst-07,40,804,83616,27040,32.851
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-nonpbc-qubitnodes_Lx-12_U-40_enc-unary_d-4,48,816,82716,46210,33.907
binaryoptimization,uuf100-8-uuf100-0509.cnf-40-cc,40,206,21594,4008,33.98
binaryoptimization,uf100-2-uf100-0396.cnf-46-res,46,271,28478,4758,69.07
condensedmatter,tfim-graph-2D-grid-nonpbc-qubitnodes_Lx-5_Ly-15_h-3,75,205,20855,1014,70.747
chemistry,N2-JW-22,22,4577,469333,230124,74.035
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-pbc-qubitnodes_Lx-46_U-2_enc-gray_d-4,92,1610,165784,94014,75.857
binaryoptimization,uf100-2-uf100-0601.cnf-46-res,46,284,29858,5595,77.931
binaryoptimization,flat100-4-flat100-7.cnf-90-cc,90,223,23012,1143,81.401
chemistry,O3-BK22,22,5465,559841,260721,90.478
chemistry,Na2-JW24,24,6508,666809,325999,106.773
binaryoptimization,graph-regular_reg-4-reg-4_n-90_rinst-07,90,540,56160,8736,113.094
discreteoptimization,TSP_Ncity-8-tsp_prob-ulysses22_Ncity-8_enc-stdbinary,24,448,45816,11278,115.452
condensedmatter,FH_D-1-fh-graph-1D-grid-pbc-qubitnodes_Lx-50_U-2_enc-jw,100,350,36750,16485,121.709
discreteoptimization,TSP_Ncity-7-tsp_prob-lin105_Ncity-7_enc-unary,49,343,35112,3101,131.612
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-pbc-qubitnodes_Lx-60_U-10_enc-stdbinary_d-4,120,2100,217080,123019,192.752
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-60_rinst-19,60,1971,204984,64792,251.562
condensedmatter,BH_D-2_d-4-bh_graph-2D-triag-pbc-qubitnodes_Lx-5_Ly-5_U-30_enc-unary_d-4,60,3270,331507,132672,316.249
condensedmatter,tfim-graph-2D-triag-pbc-qubitnodes_Lx-13_Ly-13_h-0.1,91,364,36946,3640,386.958
condensedmatter,BH_D-2_d-4-bh_graph-2D-grid-nonpbc-qubitnodes_Lx-7_Ly-7_U-70_enc-gray_d-4,98,2835,292747,123067,480.816
