category,program,num_qubits,num_paulis,t_count,t_depth,elapsed
binaryoptimization,flat100-4-flat100-7.cnf-90-cc,90,223,23012,837,0.681
binaryoptimization,graph-complete_bipart-complbipart-n-10_a-5_b-5,10,75,7800,2184,0.251
binaryoptimization,graph-gnp_k-2-gnp-k_2_n-4_rinst-05,4,12,1248,728,0.312
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-40_rinst-07,40,804,83616,5928,0.966
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-6_rinst-15,6,45,4680,1872,0.231
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-24_rinst-04,24,188,19552,2392,0.326
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-60_rinst-19,60,1971,204984,10296,1.888
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-90_rinst-02,90,2958,307632,10296,2.853
binaryoptimization,graph-regular_reg-4-reg-4_n-90_rinst-07,90,540,56160,1872,0.651
binaryoptimization,uf100-2-uf100-0396.cnf-46-res,46,271,28478,2860,0.708
binaryoptimization,uf100-2-uf100-0601.cnf-46-res,46,284,29858,2544,0.725
binaryoptimization,uf100-4-uf100-0246.cnf-70-res,70,688,72582,4662,1.748
binaryoptimization,uf20-7-uf20-0384.cnf-8-res,8,29,3027,844,0.375
binaryoptimization,uuf100-0-uuf100-0810.cnf-40-res,40,187,19600,1904,0.599
binaryoptimization,uuf100-8-uuf100-0509.cnf-40-cc,40,206,21594,2114,0.621
chemistry,BH-JW-10,10,275,28384,12497,2.947
chemistry,Be2-JW-6,6,61,6346,3193,0.783
chemistry,C2-JW-18,18,1883,197659,80025,18.584
chemistry,H2-JW-8,8,184,19043,10448,2.03
chemistry,HF-BK12,12,630,64848,30645,6.428
chemistry,HF-parity10,10,275,28375,14058,3.22
chemistry,Li2-JW14,14,669,70568,27771,7.707
chemistry,LiH-parity-4,4,26,2775,1652,0.524
chemistry,N2-JW-22,22,4577,482759,190313,51.277
chemistry,N2-parity-14,14,669,71031,31714,7.45
chemistry,NH-BK-14,14,1085,114237,52158,13.101
chemistry,NH-JW-14,14,1085,112076,51602,12.6
chemistry,Na2-JW24,24,6508,692883,270683,80.368
chemistry,O3-BK22,22,5465,565753,213969,74.661
chemistry,OH-JW10,10,275,28455,12520,3.295
chemistry,OH-JW12,12,630,64900,27849,7.546
chemistry,OH-parity12,12,630,64880,29333,7.522
chemistry,all-vib-bh-enc_stdbinary_dvalues_d-level-4,2,9,1023,718,0.304
chemistry,all-vib-bhf2-mu_y_prime_enc_stdbinary_dvalues_8-8-8-8-8-8,6,24,2644,1103,0.518
chemistry,all-vib-c2h-mu_y_prime_enc_stdbinary_dvalues_8-8-4-4,3,12,1339,921,0.357
chemistry,all-vib-c2h-mu_z_prime_enc_gray_dvalues_4-4-4-4,4,8,810,206,0.246
chemistry,all-vib-ch2-mu_y_prime_enc_gray_dvalues_16-16-16,4,32,3276,1130,0.51
chemistry,all-vib-cyclo_propene-mu_x_prime_enc_stdbinary_dvalues_8-8-8-8-8-8-8-8-8-4-4-4-4-4-4,11,40,4101,1232,0.524
chemistry,all-vib-cyclo_propene-mu_x_prime_enc_unary_dvalues_16-16-16-16-16-16-16-16-16-16-16-16-16-16-16,64,120,12290,422,0.761
chemistry,all-vib-f2-enc_gray_dvalues_d-level-16,4,98,10784,5256,1.27
chemistry,all-vib-fccf-enc_gray_dvalues_4-4-4-4-4-4-4,14,1035,106473,57007,7.871
chemistry,all-vib-fccf-mu_y_prime_enc_stdbinary_dvalues_16-16-16-16-8-8-8,4,32,3697,1958,0.509
chemistry,all-vib-fccf-mu_y_prime_enc_unary_dvalues_8-8-8-8-8-8-8,8,14,1440,416,0.236
chemistry,all-vib-fccf-mu_z_prime_enc_unary_dvalues_16-16-16-16-16-16-16,16,30,3072,416,0.304
chemistry,all-vib-h2co-mu_y_prime_enc_unary_dvalues_16-16-16-16-16-16,32,60,6158,418,0.467
chemistry,all-vib-hc3h2cn-mu_y_prime_enc_stdbinary_dvalues_4-4-4-4-4-4-4-4-4-4-4-4-4-4-4-4-4-4,24,48,4933,415,0.485
chemistry,all-vib-hco-enc_unary_dvalues_4-4-4,12,1788,184302,95628,18.331
chemistry,all-vib-hno-mu_x_prime_enc_unary_dvalues_4-4-4,12,18,1844,414,0.251
chemistry,all-vib-o3-enc_gray_dvalues_8-8-8,9,2801,292170,159363,30.314
chemistry,all-vib-o3-mu_y_prime_enc_unary_dvalues_4-4-4,4,6,608,205,0.236
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-nonpbc-qubitnodes_Lx-12_U-40_enc-unary_d-4,48,816,82716,15166,1.789
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-pbc-qubitnodes_Lx-14_U-10_enc-stdbinary_d-4,28,490,50684,10411,0.883
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-pbc-qubitnodes_Lx-24_U-20_enc-stdbinary_d-4,48,840,86804,14604,1.395
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-pbc-qubitnodes_Lx-46_U-2_enc-gray_d-4,92,1610,165784,5789,2.103
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-pbc-qubitnodes_Lx-60_U-10_enc-stdbinary_d-4,120,2100,216928,29455,3.057
condensedmatter,BH_D-1_d-8-bh_graph-1D-grid-pbc-qubitnodes_Lx-10_U-30_enc-unary_d-8,80,3980,405290,89173,7.406
condensedmatter,BH_D-1_d-8-bh_graph-1D-grid-pbc-qubitnodes_Lx-4_U-40_enc-gray_d-8,12,1176,123825,46082,9.628
condensedmatter,BH_D-2_d-4-bh_graph-2D-grid-nonpbc-qubitnodes_Lx-7_Ly-7_U-70_enc-gray_d-4,98,2835,292075,11772,3.769
condensedmatter,BH_D-2_d-4-bh_graph-2D-triag-nonpbc-qubitnodes_Lx-11_Ly-11_U-100_enc-gray_d-4,156,6570,678846,19461,8.034
condensedmatter,BH_D-2_d-4-bh_graph-2D-triag-nonpbc-qubitnodes_Lx-3_Ly-5_U-30_enc-gray_d-4,28,938,96796,19123,1.17
condensedmatter,BH_D-2_d-4-bh_graph-2D-triag-pbc-qubitnodes_Lx-10_Ly-10_U-30_enc-stdbinary_d-4,100,4950,510800,47995,5.73
condensedmatter,BH_D-2_d-4-bh_graph-2D-triag-pbc-qubitnodes_Lx-3_Ly-22_U-70_enc-unary_d-4,132,7194,729003,106384,12.286
condensedmatter,BH_D-2_d-4-bh_graph-2D-triag-pbc-qubitnodes_Lx-5_Ly-5_U-30_enc-unary_d-4,60,3270,331395,62187,5.328
condensedmatter,BH_D-3_d-4-bh_graph-3D-grid-nonpbc-qubitnodes_Lx-2_Ly-2_Lz-2_U-20_enc-unary_d-4,32,880,89200,26794,1.777
condensedmatter,FH_D-1-fh-graph-1D-grid-nonpbc-qubitnodes_Lx-90_U-2_enc-jw,180,626,65104,624,0.887
condensedmatter,FH_D-1-fh-graph-1D-grid-pbc-qubitnodes_Lx-160_U-12_enc-parity,320,1120,115616,1232,5.626
condensedmatter,FH_D-1-fh-graph-1D-grid-pbc-qubitnodes_Lx-50_U-2_enc-jw,100,350,36400,728,2.769
condensedmatter,FH_D-2-fh-graph-2D-grid-pbc-qubitnodes_Lx-2_Ly-105_U-8_enc-bk,420,1890,203804,2266,9.848
condensedmatter,FH_D-2-fh-graph-2D-grid-pbc-qubitnodes_Lx-5_Ly-72_U-0_enc-parity,720,2880,302400,3150,26.622
condensedmatter,FH_D-2-fh-graph-2D-triag-nonpbc-qubitnodes_Lx-16_Ly-16_U-4_enc-bk,306,2091,232047,5590,9.786
condensedmatter,heis-graph-2D-grid-nonpbc-qubitnodes_Lx-4_Ly-133_h-0.1,532,3313,335677,1315,5.968
