category,program,num_qubits,num_paulis,t_count,t_depth,elapsed
binaryoptimization,flat100-4-flat100-7.cnf-90-cc,90,223,23012,725,8.188
binaryoptimization,graph-complete_bipart-complbipart-n-10_a-5_b-5,10,75,7800,3328,7.888
binaryoptimization,graph-gnp_k-2-gnp-k_2_n-4_rinst-05,4,12,1248,728,7.601
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-40_rinst-07,40,804,83716,23604,8.715
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-6_rinst-15,6,45,4981,2589,7.749
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-24_rinst-04,24,188,19740,2625,7.899
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-60_rinst-19,60,1971,205491,47522,10.872
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-90_rinst-02,90,2958,308037,62813,13.896
binaryoptimization,graph-regular_reg-4-reg-4_n-90_rinst-07,90,540,56364,10816,8.389
binaryoptimization,uf100-2-uf100-0396.cnf-46-res,46,271,28478,3158,8.192
binaryoptimization,uf100-2-uf100-0601.cnf-46-res,46,284,29858,3066,8.167
binaryoptimization,uf100-4-uf100-0246.cnf-70-res,70,688,72582,6766,8.473
binaryoptimization,uf20-7-uf20-0384.cnf-8-res,8,29,3027,1048,7.851
binaryoptimization,uuf100-0-uuf100-0810.cnf-40-res,40,187,19594,1999,8.106
binaryoptimization,uuf100-8-uuf100-0509.cnf-40-cc,40,206,21594,2110,8.076
chemistry,BH-JW-10,10,275,28505,13940,9.508
chemistry,Be2-JW-6,6,61,6250,3388,8.14
chemistry,C2-JW-18,18,1883,204403,90635,18.299
chemistry,H2-JW-8,8,184,19254,10356,8.902
chemistry,HF-BK12,12,630,69843,38266,11.698
chemistry,HF-parity10,10,275,28478,13451,9.365
chemistry,Li2-JW14,14,669,72347,35202,11.333
chemistry,LiH-parity-4,4,26,2674,1959,7.646
chemistry,N2-JW-22,22,4577,507023,217765,34.741
chemistry,N2-parity-14,14,669,72797,34900,11.765
chemistry,NH-BK-14,14,1085,118306,59109,14.484
chemistry,NH-JW-14,14,1085,116548,60248,14.397
chemistry,Na2-JW24,24,6508,736541,321607,45.609
