benchmark,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(opt),num_2q_gates(opt),depth(opt),depth_2q(opt)
CH2_cmplt_BK_sto3g,14,37780,19574,23568,19399,24302,5182,13113,4503
CH2_cmplt_JW_sto3g,14,34280,21072,23700,19749,23568,4836,13840,4228
CH2_cmplt_P_sto3g,14,40198,20514,24893,20455,26286,6496,16200,5608
CH2_frz_BK_sto3g,12,19880,10228,12559,10174,13030,2818,7371,2469
CH2_frz_JW_sto3g,12,17658,10344,11914,9706,12258,2518,7320,2230
CH2_frz_P_sto3g,12,19532,9938,12346,9889,13742,3308,8241,2844
H2O_cmplt_BK_sto3g,14,25238,13108,15797,12976,16666,3674,9145,3184
H2O_cmplt_JW_sto3g,14,23210,14360,16264,13576,16032,3292,9472,2896
H2O_cmplt_P_sto3g,14,27467,14020,16929,13955,19694,5016,12261,4303
H2O_frz_BK_sto3g,12,15624,8004,9691,7934,8648,1660,4415,1414
H2O_frz_JW_sto3g,12,13704,8064,9332,7613,9552,1964,5726,1741
H2O_frz_P_sto3g,12,15288,7796,9634,7740,11556,2866,7029,2468
LiH_cmplt_BK_sto3g,12,16762,8680,10509,8637,9260,1764,4798,1523
LiH_cmplt_JW_sto3g,12,13700,8064,9342,7616,9552,1964,5778,1760
LiH_cmplt_P_sto3g,12,15130,7640,9497,7603,10498,2508,6270,2186
LiH_frz_BK_sto3g,10,2890,1442,1868,1438,2398,566,1509,532
LiH_frz_JW_sto3g,10,2850,1616,1985,1576,2100,440,1325,405
LiH_frz_P_sto3g,10,2957,1448,1862,1437,2278,586,1379,536
NH_cmplt_BK_sto3g,12,15624,8004,9691,7934,8648,1660,4415,1414
NH_cmplt_JW_sto3g,12,13704,8064,9332,7613,9552,1964,5726,1741
NH_cmplt_P_sto3g,12,15288,7796,9634,7740,11556,2866,7029,2468
NH_frz_BK_sto3g,10,8303,4178,5214,4160,5776,1260,3393,1139
NH_frz_JW_sto3g,10,7046,3896,4640,3674,4972,1024,3035,921
NH_frz_P_sto3g,10,7289,3700,4707,3654,5902,1422,3504,1227
