category,benchmark,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(opt),num_2q_gates(opt),depth(opt),depth_2q(opt)
binaryoptimization,flat100-4-flat100-7,90,505,282,46,30,561,282,37,20
binaryoptimization,graph-complete_bipart-complbipart-n-10_a-5_b-5,10,525,150,327,118,525,150,105,42
binaryoptimization,graph-gnp_k-2-gnp-k_2_n-4_rinst-05,4,84,24,60,24,84,24,45,18
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-6_rinst-15,6,315,90,207,78,315,90,105,42
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-40_rinst-07,40,5628,1608,3261,1202,5628,1608,300,120
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-24_rinst-04,24,564,376,120,80,564,376,66,44
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-60_rinst-19,60,13797,3942,8049,2934,13797,3942,540,216
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-90_rinst-02,90,20706,5916,11699,4268,20706,5916,555,222
binaryoptimization,graph-regular_reg-4-reg-4_n-90_rinst-07,90,3780,1080,478,188,3780,1080,90,36
binaryoptimization,uf20-7-uf20-0384,8,79,50,46,30,111,50,37,20
binaryoptimization,uf100-2-uf100-0396,46,819,548,286,200,1203,548,121,65
binaryoptimization,uf100-2-uf100-0601,46,866,582,278,196,1266,582,130,69
binaryoptimization,uf100-4-uf100-0246,70,2246,1558,955,690,3486,1558,238,125
binaryoptimization,uuf100-0-uuf100-0810,40,537,350,197,139,737,350,88,48
binaryoptimization,uuf100-8-uuf100-0509,40,608,402,198,139,856,402,103,56
discreteoptimization,TSP_Ncity-4-tsp_rand-002_Ncity-4_enc-stdbinary,8,176,128,139,106,368,128,109,51
discreteoptimization,TSP_Ncity-5-tsp_prob-ts225_Ncity-5_enc-unary,25,325,200,71,44,325,200,31,20
discreteoptimization,TSP_Ncity-7-tsp_prob-lin105_Ncity-7_enc-unary,49,931,588,145,92,931,588,46,30
discreteoptimization,TSP_Ncity-8-tsp_prob-d198_Ncity-8_enc-unary,64,1408,896,191,122,1408,896,43,28
discreteoptimization,TSP_Ncity-8-tsp_prob-ulysses22_Ncity-8_enc-stdbinary,24,2432,1984,2156,1793,6976,1984,925,382
