program,num_su4(tket),depth_su4(tket),num_su4(paulihedral),depth_su4(paulihedral),num_su4(tetris),depth_su4(tetris),num_su4(phoenix),depth_su4(phoenix)
CH2_cmplt_BK,14123,8704,13286,10414,8903,7176,6285,4502
CH2_cmplt_JW,13500,8551,15027,13719,9270,7633,5690,4180
CH2_frz_BK,7529,4872,7629,6199,4758,3912,3196,2359
CH2_frz_JW,6048,3908,7826,6979,4589,3734,2880,2190
H2O_cmplt_BK,9722,6378,9455,8132,5601,4543,4138,3005
H2O_cmplt_JW,9261,6097,11589,10482,6417,5215,3813,2761
H2O_frz_BK,5908,3867,5521,4639,3050,2589,1986,1541
H2O_frz_JW,5051,3468,5818,5428,4078,3425,2317,1812
LiH_cmplt_BK,6000,4082,5808,5028,2982,2399,2103,1611
LiH_cmplt_JW,4280,2893,6051,5071,3640,2985,2289,1737
LiH_frz_BK,890,660,1075,902,911,726,516,430
LiH_frz_JW,785,549,1231,1144,930,690,471,402
NH_cmplt_BK,5924,3944,5534,4647,2986,2523,1991,1530
NH_cmplt_JW,5193,3411,5818,5428,4089,3426,2334,1767
NH_frz_BK,3025,2129,2620,2204,2174,1670,1404,1088
NH_frz_JW,2439,1782,3143,3040,2091,1766,1203,944
