program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(all2all),num_2q_gates(all2all),depth(all2all),depth_2q(all2all),num_gates(manhattan),num_2q_gates(manhattan),depth(manhattan),depth_2q(manhattan),num_gates(sycamore),num_2q_gates(sycamore),depth(sycamore),depth_2q(sycamore)
CH2_cmplt_BK_sto3g,14,37780,19574,23568,19399,8215,4471,6216,4449,23040,14257,15146,11120,17851,10418,12651,8835
CH2_cmplt_JW_sto3g,14,34280,21072,23700,19749,8661,4528,6364,4457,25610,16859,19184,15375,16675,9700,10729,7462
CH2_cmplt_P_sto3g,14,40198,20514,24893,20455,7642,4323,6011,4289,24541,16156,18199,14325,18793,10645,12407,8644
CH2_frz_BK_sto3g,12,19880,10228,12559,10174,5026,2869,3841,2824,13018,8307,8902,6754,7966,4390,5612,3720
CH2_frz_JW_sto3g,12,17658,10344,11914,9706,4675,2385,3455,2376,13560,8615,9828,7658,10172,5814,6936,4949
CH2_frz_P_sto3g,12,19532,9938,12346,9889,4476,2524,3513,2482,12467,7959,9343,7163,7559,4233,5210,3611
H2O_cmplt_BK_sto3g,14,25238,13108,15797,12976,5176,2928,4087,2909,15790,10246,11497,8917,14126,8303,8752,6251
H2O_cmplt_JW_sto3g,14,23210,14360,16264,13576,5859,3078,4389,3075,17719,11935,13601,11056,13084,7430,8077,5667
H2O_cmplt_P_sto3g,14,27467,14020,16929,13955,5017,2835,3925,2804,16872,11385,13277,10618,10041,5962,7149,5110
H2O_frz_BK_sto3g,12,15624,8004,9691,7934,3635,1978,2662,1951,9626,6083,6799,5116,6041,3285,4305,2889
H2O_frz_JW_sto3g,12,13704,8064,9332,7613,3622,1832,2674,1826,10337,6680,7830,6231,5688,2970,4061,2659
H2O_frz_P_sto3g,12,15288,7796,9634,7740,3256,1847,2573,1818,9760,6335,7371,5722,4763,2602,3342,2225
LiH_cmplt_BK_sto3g,12,16762,8680,10509,8637,3589,2159,2869,2125,9785,6243,7185,5445,4341,2211,2956,1780
LiH_cmplt_JW_sto3g,12,13700,8064,9342,7616,3641,1853,2692,1842,10231,6330,6951,5293,4687,2414,3433,2172
LiH_cmplt_P_sto3g,12,15130,7640,9497,7603,3786,2259,3086,2238,8991,5501,6548,4885,6276,3444,4331,2916
LiH_frz_BK_sto3g,10,2890,1442,1868,1438,942,587,799,581,2026,1272,1423,1055,1180,583,755,453
LiH_frz_JW_sto3g,10,2850,1616,1985,1576,779,386,567,381,2110,1404,1646,1293,1083,572,789,503
LiH_frz_P_sto3g,10,2957,1448,1862,1437,989,577,807,577,1821,1058,1167,824,1445,741,960,611
NH_cmplt_BK_sto3g,12,15624,8004,9691,7934,3635,1978,2662,1951,9626,6083,6799,5116,6041,3285,4305,2889
NH_cmplt_JW_sto3g,12,13704,8064,9332,7613,3622,1832,2674,1826,10337,6680,7830,6231,5688,2970,4061,2659
NH_cmplt_P_sto3g,12,15288,7796,9634,7740,3256,1847,2573,1818,9760,6335,7371,5722,4763,2602,3342,2225
NH_frz_BK_sto3g,10,8303,4178,5214,4160,2238,1296,1733,1281,4993,3061,3488,2584,3389,1859,2424,1614
NH_frz_JW_sto3g,10,7046,3896,4640,3674,1960,960,1437,956,5558,3702,4443,3562,3320,1696,2295,1506
NH_frz_P_sto3g,10,7289,3700,4707,3654,1895,1048,1464,1023,4876,2990,3601,2685,4031,2205,2722,1876
