program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(all2all),num_2q_gates(all2all),depth(all2all),depth_2q(all2all),num_gates(all2all_opt),num_2q_gates(all2all_opt),depth(all2all_opt),depth_2q(all2all_opt),num_gates(manhattan),num_2q_gates(manhattan),depth(manhattan),depth_2q(manhattan),num_gates(sycamore),num_2q_gates(sycamore),depth(sycamore),depth_2q(sycamore)
CH2_cmplt_BK,14,37780,19574,23568,19399,6127,4112,4409,3483,8498,3870,5563,3253,19391,12546,11660,8680,14449,8710,8964,6336
CH2_cmplt_JW,14,34280,21072,23700,19749,6030,4150,4448,3636,8371,3680,5296,3040,18344,10953,11121,8005,14874,8420,9262,6353
CH2_frz_BK,12,19880,10228,12559,10174,3374,2214,2445,1909,4607,2102,3058,1804,9982,6217,6113,4473,7637,4544,4929,3485
CH2_frz_JW,12,17658,10344,11914,9706,3258,2202,2438,1973,4595,1987,2958,1683,9471,5382,5849,4100,7843,4465,4960,3446
H2O_cmplt_BK,14,25238,13108,15797,12976,4230,2810,3050,2406,5748,2612,3765,2216,12499,8129,7632,5693,9489,5710,6048,4276
H2O_cmplt_JW,14,23210,14360,16264,13576,4090,2808,3082,2514,5612,2471,3642,2085,12253,7312,7275,5265,9850,5624,6278,4312
H2O_frz_BK,12,15624,8004,9691,7934,2205,1418,1559,1195,3140,1356,2014,1137,6301,3737,4038,2872,5011,2871,3282,2273
H2O_frz_JW,12,13704,8064,9332,7613,2568,1740,1927,1564,3591,1560,2324,1326,7656,4410,4853,3454,6087,3462,3867,2671
LiH_cmplt_BK,12,16762,8680,10509,8637,2283,1484,1646,1285,3240,1414,2181,1218,6621,4000,4215,3049,5041,2895,3337,2305
LiH_cmplt_JW,12,13700,8064,9342,7616,2526,1702,1901,1535,3566,1532,2302,1305,7368,4318,4566,3275,5987,3317,3817,2603
LiH_frz_BK,10,2890,1442,1868,1438,637,402,489,367,885,396,628,361,1587,927,1085,756,1294,714,886,595
LiH_frz_JW,10,2850,1616,1985,1576,590,380,465,367,814,344,555,315,1593,868,1087,749,1307,721,854,572
NH_cmplt_BK,12,15624,8004,9691,7934,2205,1418,1559,1195,3140,1356,2014,1137,6398,3782,4066,2916,5039,2918,3345,2332
NH_cmplt_JW,12,13704,8064,9332,7613,2568,1740,1927,1564,3591,1560,2324,1326,7589,4436,4701,3382,6100,3441,3903,2691
NH_frz_BK,10,8303,4178,5214,4160,1525,1012,1141,889,2178,978,1487,856,4327,2635,2753,1998,3445,1963,2251,1551
NH_frz_JW,10,7046,3896,4640,3674,1404,930,1055,846,1960,840,1278,721,3947,2234,2522,1784,3233,1777,2086,1417
