program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(all2all),num_2q_gates(all2all),depth(all2all),depth_2q(all2all),num_gates(manhattan),num_2q_gates(manhattan),depth(manhattan),depth_2q(manhattan),num_gates(sycamore),num_2q_gates(sycamore),depth(sycamore),depth_2q(sycamore)
CH2_cmplt_BK_sto3g,14,37780,19574,23568,19399,14659,7118,10485,6937,25030,14944,16129,11495,21200,12245,13761,9632
CH2_cmplt_JW_sto3g,14,34280,21072,23700,19749,15281,6874,10445,6554,26253,14515,17251,11938,22217,12361,13612,9546
CH2_cmplt_P_sto3g,14,40198,20514,24893,20455,14444,7210,10239,6949,23980,13973,14913,10385,20970,12451,13144,9261
CH2_frz_BK_sto3g,12,19880,10228,12559,10174,8062,3915,5895,3900,14409,8033,9424,6446,11447,6528,7605,5314
CH2_frz_JW_sto3g,12,17658,10344,11914,9706,8367,3715,5508,3422,11683,6375,7431,5187,12042,6668,7463,5194
CH2_frz_P_sto3g,12,19532,9938,12346,9889,7991,3954,5624,3780,13346,7562,8688,5923,11050,6282,7183,4959
H2O_cmplt_BK_sto3g,14,25238,13108,15797,12976,9852,4858,7268,4847,16155,9332,10499,7298,14164,8158,9045,6351
H2O_cmplt_JW_sto3g,14,23210,14360,16264,13576,10315,4679,6904,4360,16823,9343,10783,7581,14782,8304,9250,6471
H2O_cmplt_P_sto3g,14,27467,14020,16929,13955,9531,4874,6977,4810,17064,10112,11180,7897,14232,8425,9050,6350
H2O_frz_BK_sto3g,12,15624,8004,9691,7934,5861,2711,4249,2693,9179,4931,6169,4126,7859,4410,5416,3704
H2O_frz_JW_sto3g,12,13704,8064,9332,7613,6471,2880,4243,2641,11227,6124,7494,5150,9506,5294,6076,4223
H2O_frz_P_sto3g,12,15288,7796,9634,7740,6094,3041,4280,2904,9874,5638,6371,4417,8654,5091,5515,3840
LiH_cmplt_BK_sto3g,12,16762,8680,10509,8637,5853,2729,4115,2641,8895,4794,5679,3781,7625,3997,4814,3175
LiH_cmplt_JW_sto3g,12,13700,8064,9342,7616,6426,2834,4191,2593,9818,5177,6266,4251,9376,5112,5842,4017
LiH_cmplt_P_sto3g,12,15130,7640,9497,7603,6299,3162,4517,3073,9073,5093,6014,4100,8825,4980,5583,3841
LiH_frz_BK_sto3g,10,2890,1442,1868,1438,1430,754,1050,743,2606,1512,1730,1237,1768,987,1137,791
LiH_frz_JW_sto3g,10,2850,1616,1985,1576,1408,611,987,608,2580,1411,1580,1078,1924,991,1187,797
LiH_frz_P_sto3g,10,2957,1448,1862,1437,1495,775,1083,766,2496,1435,1657,1148,1814,1016,1204,846
NH_cmplt_BK_sto3g,12,15624,8004,9691,7934,5861,2711,4249,2693,8969,4726,6000,3952,7708,4256,5395,3664
NH_cmplt_JW_sto3g,12,13704,8064,9332,7613,6471,2880,4243,2641,11246,6153,7499,5169,9374,5178,5881,4083
NH_cmplt_P_sto3g,12,15288,7796,9634,7740,6094,3041,4280,2904,10173,5842,6691,4642,8695,5137,5508,3905
NH_frz_BK_sto3g,10,8303,4178,5214,4160,3599,1804,2647,1795,6028,3381,3747,2603,5085,2853,3278,2261
NH_frz_JW_sto3g,10,7046,3896,4640,3674,3577,1570,2343,1439,5607,3097,3790,2644,4809,2594,2954,2048
NH_frz_P_sto3g,10,7289,3700,4707,3654,3324,1617,2318,1541,4536,2542,3027,2096,4728,2770,3211,2259
