program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(all2all),num_2q_gates(all2all),depth(all2all),depth_2q(all2all),num_gates(manhattan),num_2q_gates(manhattan),depth(manhattan),depth_2q(manhattan),num_gates(sycamore),num_2q_gates(sycamore),depth(sycamore),depth_2q(sycamore)
CH2_cmplt_BK,14,37780,19574,23568,19399,9952,6565,7813,5870,34140,27272,19366,16687,22559,17332,13879,11600
CH2_cmplt_JW,14,34280,21072,23700,19749,9784,6248,7301,5368,32637,25468,19579,16524,22325,16801,14007,11426
CH2_frz_BK,12,19880,10228,12559,10174,5786,3710,4527,3337,18593,14285,10819,9067,12577,9407,8046,6607
CH2_frz_JW,12,17658,10344,11914,9706,4823,3005,3703,2640,14588,11056,8491,7066,10025,7491,6438,5245
H2O_cmplt_BK,14,25238,13108,15797,12976,7377,4757,5673,4187,23975,18442,13777,11557,16431,12330,10236,8414
H2O_cmplt_JW,14,23210,14360,16264,13576,6769,4427,5156,3853,22845,17891,13498,11397,15566,11949,9908,8239
H2O_frz_BK,12,15624,8004,9691,7934,4795,3011,3653,2669,14718,10782,8839,7213,10219,7431,6731,5427
H2O_frz_JW,12,13704,8064,9332,7613,4144,2631,3115,2268,12928,9485,7736,6310,8918,6591,5653,4580
LiH_cmplt_BK,12,16762,8680,10509,8637,4463,2925,3571,2681,14854,11621,8700,7363,9844,7556,6241,5179
LiH_cmplt_JW,12,13700,8064,9342,7616,3544,2144,2667,1874,10588,7718,6243,5061,7348,5243,4755,3739
LiH_frz_BK,10,2890,1442,1868,1438,843,515,662,476,2324,1661,1493,1178,1543,1128,1047,823
LiH_frz_JW,10,2850,1616,1985,1576,752,430,575,390,1738,1278,1119,902,1261,861,858,651
NH_cmplt_BK,12,15624,8004,9691,7934,4795,3011,3653,2669,14909,11031,9087,7452,10267,7445,6733,5415
NH_cmplt_JW,12,13704,8064,9332,7613,4144,2631,3115,2268,12620,9271,7662,6250,8765,6541,5461,4456
NH_frz_BK,10,8303,4178,5214,4160,2558,1618,1990,1438,7531,5487,4781,3871,5235,3781,3379,2716
NH_frz_JW,10,7046,3896,4640,3674,2245,1371,1660,1166,6302,4461,3959,3181,4275,3023,2878,2270
