category,program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(opt),num_2q_gates(opt),depth(opt),depth_2q(opt)
binaryoptimization,flat100-4-flat100-7.cnf-90-cc,90,505,282,46,30,491,268,37,24
binaryoptimization,graph-complete_bipart-complbipart-n-10_a-5_b-5,10,425,150,277,118,235,75,55,27
binaryoptimization,graph-gnp_k-2-gnp-k_2_n-4_rinst-05,4,68,24,52,24,40,12,25,12
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-40_rinst-07,40,4556,1608,2737,1202,2452,804,289,144
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-6_rinst-15,6,255,90,177,78,141,45,55,27
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-24_rinst-04,24,564,376,120,80,564,376,120,80
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-60_rinst-19,60,11169,3942,6739,2934,5973,1971,511,255
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-90_rinst-02,90,16762,5916,9763,4268,8964,2958,601,300
binaryoptimization,graph-regular_reg-4-reg-4_n-90_rinst-07,90,3060,1080,408,188,1710,540,109,54
binaryoptimization,uf100-2-uf100-0396.cnf-46-res,46,819,548,284,198,723,452,97,64
binaryoptimization,uf100-2-uf100-0601.cnf-46-res,46,866,582,268,186,757,476,112,74
binaryoptimization,uf100-4-uf100-0246.cnf-70-res,70,2246,1558,900,635,1918,1236,202,134
binaryoptimization,uf20-7-uf20-0384.cnf-8-res,8,79,50,46,30,71,42,31,20
binaryoptimization,uuf100-0-uuf100-0810.cnf-40-res,40,537,350,191,132,487,300,85,56
binaryoptimization,uuf100-8-uuf100-0509.cnf-40-cc,40,608,402,193,134,546,338,87,58
chemistry,BH-JW-10,10,3965,2362,2754,2132,1933,1165,1513,1123
chemistry,Be2-JW-6,6,611,310,416,288,345,196,256,180
chemistry,C2-JW-18,18,43501,29138,30969,26809,17383,11011,13469,10675
chemistry,H2-JW-8,8,2472,1328,1646,1238,1232,692,902,651
chemistry,HF-BK12,12,10946,5760,6913,5439,3370,1808,2526,1740
chemistry,HF-parity10,10,4841,2502,2797,2264,1663,931,1280,909
chemistry,Li2-JW14,14,12467,7622,8335,6951,5258,3131,3917,2967
chemistry,LiH-parity-4,4,176,86,137,84,81,31,59,31
chemistry,N2-JW-22,22,123239,87142,90272,80618,45070,29177,35492,28580
chemistry,N2-parity-14,14,12529,6676,7401,6023,4579,2626,3503,2516
chemistry,NH-BK-14,14,21891,11594,13760,11086,6171,3343,4654,3278
chemistry,NH-JW-14,14,20643,13174,14464,12103,8854,5407,6857,5242
chemistry,Na2-JW24,24,189188,137080,139430,125891,67490,44616,53762,43914
chemistry,O3-BK22,22,140441,78106,84712,71642,32163,18203,24348,17989
chemistry,OH-JW10,10,3965,2362,2754,2132,1933,1165,1513,1123
chemistry,OH-JW12,12,10698,6708,7379,6040,4858,2954,3769,2849
chemistry,OH-parity12,12,13614,6984,7733,6418,4031,2279,3085,2213
chemistry,all-vib-bh-enc_stdbinary_dvalues_d-level-4,2,31,10,26,10,11,3,7,3
chemistry,all-vib-bhf2-mu_y_prime_enc_stdbinary_dvalues_8-8-8-8-8-8,6,188,72,66,36,36,12,13,6
chemistry,all-vib-c2h-mu_y_prime_enc_stdbinary_dvalues_8-8-4-4,3,94,36,66,36,18,6,13,6
chemistry,all-vib-c2h-mu_z_prime_enc_gray_dvalues_4-4-4-4,4,24,8,11,4,16,4,5,2
chemistry,all-vib-ch2-mu_y_prime_enc_gray_dvalues_16-16-16,4,184,96,154,92,79,27,48,25
chemistry,all-vib-cyclo_propene-mu_x_prime_enc_stdbinary_dvalues_8-8-8-8-8-8-8-8-8-4-4-4-4-4-4,11,302,114,66,36,59,18,13,6
chemistry,all-vib-cyclo_propene-mu_x_prime_enc_unary_dvalues_16-16-16-16-16-16-16-16-16-16-16-16-16-16-16,64,840,240,150,60,424,120,61,30
chemistry,all-vib-f2-enc_gray_dvalues_d-level-16,4,766,356,565,350,180,64,112,61
chemistry,all-vib-fccf-enc_gray_dvalues_4-4-4-4-4-4-4,14,11917,5954,8158,5689,4187,1716,2789,1611
chemistry,all-vib-fccf-mu_y_prime_enc_stdbinary_dvalues_16-16-16-16-8-8-8,4,334,144,219,141,86,30,57,30
