category,program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(opt),num_2q_gates(opt),depth(opt),depth_2q(opt)
binaryoptimization,flat100-4-flat100-7.cnf-90-cc,90,505,282,46,30,539,280,34,18
binaryoptimization,graph-complete_bipart-complbipart-n-10_a-5_b-5,10,525,150,327,118,215,75,36,18
binaryoptimization,graph-gnp_k-2-gnp-k_2_n-4_rinst-05,4,84,24,60,24,38,12,19,9
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-40_rinst-07,40,5628,1608,3261,1202,2274,804,115,57
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-6_rinst-15,6,315,90,207,78,134,45,41,21
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-24_rinst-04,24,564,376,120,80,564,376,63,42
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-60_rinst-19,60,13797,3942,8049,2934,5514,1971,200,105
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-90_rinst-02,90,20706,5916,11699,4268,8292,2958,202,102
binaryoptimization,graph-regular_reg-4-reg-4_n-90_rinst-07,90,3780,1080,478,188,1619,540,31,15
binaryoptimization,uf100-2-uf100-0396.cnf-46-res,46,819,548,286,200,981,546,116,67
binaryoptimization,uf100-2-uf100-0601.cnf-46-res,46,866,582,278,196,1021,574,112,66
binaryoptimization,uf100-4-uf100-0246.cnf-70-res,70,2246,1558,955,690,2753,1546,217,126
binaryoptimization,uf20-7-uf20-0384.cnf-8-res,8,79,50,46,30,99,48,41,23
binaryoptimization,uuf100-0-uuf100-0810.cnf-40-res,40,537,350,197,139,621,348,80,48
binaryoptimization,uuf100-8-uuf100-0509.cnf-40-cc,40,608,402,198,139,719,400,92,53
chemistry,BH-JW-10,10,4629,2362,3269,2322,1683,835,927,580
chemistry,Be2-JW-6,6,731,310,485,302,329,154,202,125
chemistry,C2-JW-18,18,49741,29138,36034,28944,14409,7919,8530,5957
chemistry,H2-JW-8,8,2952,1328,1942,1306,1184,554,668,409
chemistry,HF-BK12,12,13054,5760,7875,5735,4170,2011,2548,1517
chemistry,HF-parity10,10,5525,2502,3406,2494,1857,874,1070,657
chemistry,Li2-JW14,14,14555,7622,9917,7524,4557,2374,2634,1770
chemistry,LiH-parity-4,4,208,86,159,86,109,40,66,34
chemistry,OH-JW10,10,4629,2362,3269,2322,1683,835,927,580
chemistry,all-vib-bh-enc_stdbinary_dvalues_d-level-4,2,39,10,32,10,11,3,7,3
chemistry,all-vib-bhf2-mu_y_prime_enc_stdbinary_dvalues_8-8-8-8-8-8,6,232,72,81,36,72,27,25,14
chemistry,all-vib-c2h-mu_y_prime_enc_stdbinary_dvalues_8-8-4-4,3,116,36,81,36,36,13,25,13
chemistry,all-vib-c2h-mu_z_prime_enc_gray_dvalues_4-4-4-4,4,32,8,15,4,15,4,5,2
chemistry,all-vib-ch2-mu_y_prime_enc_gray_dvalues_16-16-16,4,192,96,163,94,108,41,64,35
chemistry,all-vib-cyclo_propene-mu_x_prime_enc_stdbinary_dvalues_8-8-8-8-8-8-8-8-8-4-4-4-4-4-4,11,374,114,81,36,119,43,26,14
chemistry,all-vib-cyclo_propene-mu_x_prime_enc_unary_dvalues_16-16-16-16-16-16-16-16-16-16-16-16-16-16-16,64,1080,240,180,60,424,120,9,4
chemistry,all-vib-f2-enc_gray_dvalues_d-level-16,4,902,356,664,354,245,94,154,83
chemistry,all-vib-fccf-mu_y_prime_enc_stdbinary_dvalues_16-16-16-16-8-8-8,4,408,144,271,144,100,38,66,35
