category,program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(opt),num_2q_gates(opt),depth(opt),depth_2q(opt)
binaryoptimization,flat100-4-flat100-7.cnf-90-cc,90,505,282,46,30,936,282,37,18
binaryoptimization,graph-complete_bipart-complbipart-n-10_a-5_b-5,10,425,150,277,118,235,75,43,21
binaryoptimization,graph-gnp_k-2-gnp-k_2_n-4_rinst-05,4,68,24,52,24,52,16,31,15
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-40_rinst-07,40,4556,1608,2737,1202,2452,804,115,57
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-6_rinst-15,6,255,90,177,78,141,45,37,18
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-24_rinst-04,24,564,376,120,80,1152,376,93,46
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-60_rinst-19,60,11169,3942,6739,2934,5973,1971,199,99
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-90_rinst-02,90,16762,5916,9763,4268,8964,2958,199,99
binaryoptimization,graph-regular_reg-4-reg-4_n-90_rinst-07,90,3060,1080,408,188,1710,540,37,18
binaryoptimization,uf100-2-uf100-0396.cnf-46-res,46,819,548,284,198,1699,555,157,78
binaryoptimization,uf100-2-uf100-0601.cnf-46-res,46,866,582,268,186,1763,579,131,65
binaryoptimization,uf100-4-uf100-0246.cnf-70-res,70,2246,1558,900,635,4646,1530,258,129
binaryoptimization,uf20-7-uf20-0384.cnf-8-res,8,79,50,46,30,144,46,35,17
binaryoptimization,uuf100-0-uuf100-0810.cnf-40-res,40,537,350,191,132,1069,349,83,41
binaryoptimization,uuf100-8-uuf100-0509.cnf-40-cc,40,608,402,193,134,1210,395,89,44
chemistry,BH-JW-10,10,3965,2362,2754,2132,1280,424,507,253
chemistry,Be2-JW-6,6,611,310,416,288,219,71,111,55
chemistry,C2-JW-18,18,43501,29138,30969,26809,10008,3335,3193,1597
chemistry,H2-JW-8,8,2472,1328,1646,1238,728,240,351,175
chemistry,HF-BK12,12,10946,5760,6913,5439,2929,973,1151,575
