category,program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(opt),num_2q_gates(opt),depth(opt),depth_2q(opt)
binaryoptimization,flat100-4-flat100-7.cnf-90-cc,90,505,282,46,30,500,277,45,37
binaryoptimization,graph-complete_bipart-complbipart-n-10_a-5_b-5,10,525,150,327,118,312,153,154,101
binaryoptimization,graph-gnp_k-2-gnp-k_2_n-4_rinst-05,4,84,24,60,24,36,16,21,13
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-40_rinst-07,40,5628,1608,3261,1202,7601,4156,2941,2078
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-6_rinst-15,6,315,90,207,78,146,64,71,43
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-24_rinst-04,24,564,376,120,80,485,297,157,121
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-60_rinst-19,60,13797,3942,8049,2934,25616,14109,9573,6602
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-90_rinst-02,90,20706,5916,11699,4268,69978,38000,23304,15834
binaryoptimization,graph-regular_reg-4-reg-4_n-90_rinst-07,90,3780,1080,478,188,8613,4722,2340,1598
binaryoptimization,uf100-2-uf100-0396.cnf-46-res,46,819,548,286,200,689,418,198,149
binaryoptimization,uf100-2-uf100-0601.cnf-46-res,46,866,582,278,196,715,431,228,169
binaryoptimization,uf100-4-uf100-0246.cnf-70-res,70,2246,1558,955,690,1823,1135,534,397
binaryoptimization,uf20-7-uf20-0384.cnf-8-res,8,79,50,46,30,68,39,31,25
binaryoptimization,uuf100-0-uuf100-0810.cnf-40-res,40,537,350,197,139,454,267,136,107
binaryoptimization,uuf100-8-uuf100-0509.cnf-40-cc,40,608,402,198,139,552,346,203,162
chemistry,BH-JW-10,10,4629,2362,3269,2322,999,483,522,325
chemistry,Be2-JW-6,6,731,310,485,302,188,83,107,62
chemistry,C2-JW-18,18,49741,29138,36034,28944,11409,5646,5577,3545
chemistry,H2-JW-8,8,2952,1328,1942,1306,567,265,322,188
chemistry,HF-BK12,12,13054,5760,7875,5735,2453,1182,1317,813
chemistry,HF-parity10,10,5525,2502,3406,2494,909,444,487,304
chemistry,Li2-JW14,14,14555,7622,9917,7524,3582,1725,1845,1151
chemistry,LiH-parity-4,4,208,86,159,86,68,29,47,27
chemistry,N2-JW-22,22,138999,87142,104513,86800,40743,19754,18360,11655
