category,program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(opt),num_2q_gates(opt),depth(opt),depth_2q(opt)
binaryoptimization,flat100-4-flat100-7.cnf-90-cc,90,505,282,46,30,501,278,85,48
binaryoptimization,graph-complete_bipart-complbipart-n-10_a-5_b-5,10,425,150,277,118,220,75,41,21
binaryoptimization,graph-gnp_k-2-gnp-k_2_n-4_rinst-05,4,68,24,52,24,39,12,19,9
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-40_rinst-07,40,4556,1608,2737,1202,2284,804,118,60
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-6_rinst-15,6,255,90,177,78,135,45,41,21
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-24_rinst-04,24,564,376,120,80,564,376,546,364
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-60_rinst-19,60,11169,3942,6739,2934,5528,1971,203,108
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-90_rinst-02,90,16762,5916,9763,4268,8312,2958,212,111
binaryoptimization,graph-regular_reg-4-reg-4_n-90_rinst-07,90,3060,1080,408,188,1644,540,36,18
binaryoptimization,uf100-2-uf100-0396.cnf-46-res,46,819,548,284,198,805,534,770,502
binaryoptimization,uf100-2-uf100-0601.cnf-46-res,46,866,582,268,186,848,564,739,492
binaryoptimization,uf100-4-uf100-0246.cnf-70-res,70,2246,1558,900,635,2186,1498,2019,1358
binaryoptimization,uf20-7-uf20-0384.cnf-8-res,8,79,50,46,30,79,50,78,49
binaryoptimization,uuf100-0-uuf100-0810.cnf-40-res,40,537,350,191,132,531,344,479,308
binaryoptimization,uuf100-8-uuf100-0509.cnf-40-cc,40,608,402,193,134,590,384,453,292
chemistry,BH-JW-10,10,3965,2362,2754,2132,2542,1294,1743,1195
chemistry,Be2-JW-6,6,611,310,416,288,457,226,339,223
chemistry,C2-JW-18,18,43501,29138,30969,26809,21301,10928,14352,10194
chemistry,H2-JW-8,8,2472,1328,1646,1238,1718,841,1162,780
chemistry,HF-BK12,12,10946,5760,6913,5439,5553,2643,4012,2602
chemistry,HF-parity10,10,4841,2502,2797,2264,2468,1248,1817,1214
