category,program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(opt),num_2q_gates(opt),depth(opt),depth_2q(opt)
binaryoptimization,flat100-4-flat100-7.cnf-90-cc,90,505,282,46,30,556,262,32,27
binaryoptimization,graph-complete_bipart-complbipart-n-10_a-5_b-5,10,425,150,277,118,337,150,143,91
binaryoptimization,graph-gnp_k-2-gnp-k_2_n-4_rinst-05,4,68,24,52,24,44,19,26,16
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-40_rinst-07,40,4556,1608,2737,1202,4672,2253,1287,865
binaryoptimization,graph-gnp_k-4-gnp-k_4_n-6_rinst-15,6,255,90,177,78,164,70,81,46
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-24_rinst-04,24,564,376,120,80,466,244,101,82
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-60_rinst-19,60,11169,3942,6739,2934,12470,5993,2896,1925
binaryoptimization,graph-gnp_k-5-gnp-k_5_n-90_rinst-02,90,16762,5916,9763,4268,20846,10202,4031,2678
binaryoptimization,graph-regular_reg-4-reg-4_n-90_rinst-07,90,3060,1080,408,188,2840,1361,536,368
binaryoptimization,uf100-2-uf100-0396.cnf-46-res,46,819,548,284,198,684,367,105,79
binaryoptimization,uf100-2-uf100-0601.cnf-46-res,46,866,582,268,186,725,385,106,80
binaryoptimization,uf100-4-uf100-0246.cnf-70-res,70,2246,1558,900,635,1890,1060,265,196
binaryoptimization,uf20-7-uf20-0384.cnf-8-res,8,79,50,46,30,68,32,31,20
binaryoptimization,uuf100-0-uuf100-0810.cnf-40-res,40,537,350,191,132,467,239,62,46
binaryoptimization,uuf100-8-uuf100-0509.cnf-40-cc,40,608,402,193,134,537,291,76,60
chemistry,BH-JW-10,10,3965,2362,2754,2132,1298,576,534,323
chemistry,Be2-JW-6,6,611,310,416,288,230,102,123,74
chemistry,C2-JW-18,18,43501,29138,30969,26809,11214,5104,3394,2028
chemistry,H2-JW-8,8,2472,1328,1646,1238,705,320,351,213
chemistry,HF-BK12,12,10946,5760,6913,5439,2541,1142,996,594
chemistry,HF-parity10,10,4841,2502,2797,2264,1196,536,497,291
chemistry,Li2-JW14,14,12467,7622,8335,6951,3724,1664,1285,769
chemistry,LiH-parity-4,4,176,86,137,84,68,32,48,30
chemistry,N2-JW-22,22,123239,87142,90272,80618,30781,14143,7959,4784
chemistry,N2-parity-14,14,12529,6676,7401,6023,3615,1650,1266,757
chemistry,NH-BK-14,14,21891,11594,13760,11086,5068,2271,1843,1088
chemistry,NH-JW-14,14,20643,13174,14464,12103,5191,2347,1946,1162
chemistry,Na2-JW24,24,189188,137080,139430,125891,42171,19421,10725,6400
chemistry,O3-BK22,22,140441,78106,84712,71642,42582,19525,10413,6224
chemistry,OH-JW10,10,3965,2362,2754,2132,1298,576,534,323
chemistry,OH-JW12,12,10698,6708,7379,6040,2609,1167,1087,645
chemistry,OH-parity12,12,13614,6984,7733,6418,2486,1110,1009,580
chemistry,all-vib-bh-enc_stdbinary_dvalues_d-level-4,2,31,10,26,10,10,3,7,3
chemistry,all-vib-bhf2-mu_y_prime_enc_stdbinary_dvalues_8-8-8-8-8-8,6,188,72,66,36,67,26,22,13
chemistry,all-vib-c2h-mu_y_prime_enc_stdbinary_dvalues_8-8-4-4,3,94,36,66,36,33,13,22,13
chemistry,all-vib-c2h-mu_z_prime_enc_gray_dvalues_4-4-4-4,4,24,8,11,4,12,4,5,2
chemistry,all-vib-ch2-mu_y_prime_enc_gray_dvalues_16-16-16,4,184,96,154,92,77,32,44,24
chemistry,all-vib-cyclo_propene-mu_x_prime_enc_stdbinary_dvalues_8-8-8-8-8-8-8-8-8-4-4-4-4-4-4,11,302,114,66,36,109,41,22,13
chemistry,all-vib-cyclo_propene-mu_x_prime_enc_unary_dvalues_16-16-16-16-16-16-16-16-16-16-16-16-16-16-16,64,840,240,150,60,370,122,34,18
chemistry,all-vib-f2-enc_gray_dvalues_d-level-16,4,766,356,565,350,240,98,146,81
chemistry,all-vib-fccf-enc_gray_dvalues_4-4-4-4-4-4-4,14,11917,5954,8158,5689,3020,1315,1439,840
chemistry,all-vib-fccf-mu_y_prime_enc_stdbinary_dvalues_16-16-16-16-8-8-8,4,334,144,219,141,91,40,61,35
chemistry,all-vib-fccf-mu_y_prime_enc_unary_dvalues_8-8-8-8-8-8-8,8,98,28,70,28,44,14,18,9
chemistry,all-vib-fccf-mu_z_prime_enc_unary_dvalues_16-16-16-16-16-16-16,16,210,60,150,60,92,30,34,17
chemistry,all-vib-h2co-mu_y_prime_enc_unary_dvalues_16-16-16-16-16-16,32,420,120,150,60,184,60,34,17
chemistry,all-vib-hc3h2cn-mu_y_prime_enc_stdbinary_dvalues_4-4-4-4-4-4-4-4-4-4-4-4-4-4-4-4-4-4,24,240,72,16,6,96,24,5,2
chemistry,all-vib-hco-enc_unary_dvalues_4-4-4,12,30396,13296,17552,12633,7499,3298,3302,1903
chemistry,all-vib-hno-mu_x_prime_enc_unary_dvalues_4-4-4,12,126,36,30,12,60,18,10,5
chemistry,all-vib-o3-enc_gray_dvalues_8-8-8,9,45115,25094,31584,24821,7549,3133,4096,2294
chemistry,all-vib-o3-mu_y_prime_enc_unary_dvalues_4-4-4,4,42,12,30,12,20,6,10,5
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-nonpbc-qubitnodes_Lx-12_U-40_enc-unary_d-4,48,11904,4752,6675,4358,7192,4020,4792,3053
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-pbc-qubitnodes_Lx-14_U-10_enc-stdbinary_d-4,28,5446,2268,3521,2204,2982,1477,2319,1396
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-pbc-qubitnodes_Lx-24_U-20_enc-stdbinary_d-4,48,9336,3888,6071,3804,5112,2517,3979,2386
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-pbc-qubitnodes_Lx-46_U-2_enc-gray_d-4,92,13478,5980,9824,5788,8562,3937,6146,3701
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-pbc-qubitnodes_Lx-60_U-10_enc-stdbinary_d-4,120,23340,9720,15251,9564,12780,6261,9955,5950
condensedmatter,BH_D-1_d-8-bh_graph-1D-grid-pbc-qubitnodes_Lx-10_U-30_enc-unary_d-8,80,58860,23520,33833,22354,32809,19844,23092,15396
condensedmatter,BH_D-1_d-8-bh_graph-1D-grid-pbc-qubitnodes_Lx-4_U-40_enc-gray_d-8,12,12728,6944,9577,6739,7847,5011,6522,4618
condensedmatter,BH_D-2_d-4-bh_graph-2D-grid-nonpbc-qubitnodes_Lx-7_Ly-7_U-70_enc-gray_d-4,98,24437,10850,17081,10226,14616,7342,10897,6741
condensedmatter,BH_D-2_d-4-bh_graph-2D-triag-nonpbc-qubitnodes_Lx-11_Ly-11_U-100_enc-gray_d-4,156,57414,25500,39550,23850,32378,16677,25031,15581
condensedmatter,BH_D-2_d-4-bh_graph-2D-triag-nonpbc-qubitnodes_Lx-3_Ly-5_U-30_enc-gray_d-4,28,8134,3612,5676,3410,4701,2389,3599,2229
condensedmatter,BH_D-2_d-4-bh_graph-2D-triag-pbc-qubitnodes_Lx-10_Ly-10_U-30_enc-stdbinary_d-4,100,57850,24100,33869,21042,30118,16431,22597,14620
condensedmatter,BH_D-2_d-4-bh_graph-2D-triag-pbc-qubitnodes_Lx-3_Ly-22_U-70_enc-unary_d-4,132,106986,42768,58446,38201,61936,33000,40983,24656
condensedmatter,BH_D-2_d-4-bh_graph-2D-triag-pbc-qubitnodes_Lx-5_Ly-5_U-30_enc-unary_d-4,60,48630,19440,26807,17524,28186,14914,18613,11160
condensedmatter,BH_D-3_d-4-bh_graph-3D-grid-nonpbc-qubitnodes_Lx-2_Ly-2_Lz-2_U-20_enc-unary_d-4,32,12976,5184,7115,4648,7686,4200,5166,3193
condensedmatter,FH_D-1-fh-graph-1D-grid-nonpbc-qubitnodes_Lx-90_U-2_enc-jw,180,2942,892,915,366,1429,536,368,184
condensedmatter,FH_D-1-fh-graph-1D-grid-pbc-qubitnodes_Lx-160_U-12_enc-parity,320,7164,4136,4620,3183,5421,2555,2876,1914
condensedmatter,FH_D-1-fh-graph-1D-grid-pbc-qubitnodes_Lx-50_U-2_enc-jw,100,2034,884,1275,686,1381,680,652,442
condensedmatter,FH_D-2-fh-graph-2D-grid-pbc-qubitnodes_Lx-2_Ly-105_U-8_enc-bk,420,16270,8872,3010,2321,12455,6992,2553,1832
condensedmatter,FH_D-2-fh-graph-2D-grid-pbc-qubitnodes_Lx-5_Ly-72_U-0_enc-parity,720,67452,33000,31654,26949,38657,28853,16159,14427
condensedmatter,FH_D-2-fh-graph-2D-triag-nonpbc-qubitnodes_Lx-16_Ly-16_U-4_enc-bk,306,32119,18060,10376,8701,20522,13616,6782,5311
condensedmatter,heis-graph-2D-grid-nonpbc-qubitnodes_Lx-4_Ly-133_h-0.1,532,16291,5562,3537,1632,8476,2781,1626,816
condensedmatter,heis-graph-2D-grid-nonpbc-qubitnodes_Lx-5_Ly-186_h-0.5,930,29303,10014,4954,2286,15487,5007,2188,1143
condensedmatter,heis-graph-2D-grid-nonpbc-qubitnodes_Lx-5_Ly-58_h-2,290,9079,3102,1626,750,4830,1551,723,375
condensedmatter,heis-graph-2D-grid-pbc-qubitnodes_Lx-2_Ly-185_h-0.5,370,9805,3330,4785,2208,5179,1665,2027,1104
condensedmatter,heis-graph-2D-grid-pbc-qubitnodes_Lx-4_Ly-190_h-0,760,25840,9120,7423,3426,13586,4560,3240,1713
condensedmatter,heis-graph-2D-grid-pbc-qubitnodes_Lx-5_Ly-186_h-3,930,32550,11160,7294,3366,17957,7334,7877,4882
condensedmatter,heis-graph-2D-triag-nonpbc-qubitnodes_Lx-40_Ly-40_h-0.1,861,42681,14760,3329,1536,24360,11973,3138,2243
condensedmatter,tfim-graph-1D-grid-pbc-qubitnodes_Lx-16_h-2,16,64,32,43,28,110,76,45,43
condensedmatter,tfim-graph-1D-grid-pbc-qubitnodes_Lx-26_h-6,26,104,52,73,48,197,140,94,92
condensedmatter,tfim-graph-2D-grid-nonpbc-qubitnodes_Lx-19_Ly-19_h-5,361,2413,1368,268,178,3742,2320,332,304
condensedmatter,tfim-graph-2D-grid-nonpbc-qubitnodes_Lx-5_Ly-15_h-3,75,465,260,118,78,730,512,183,167
condensedmatter,tfim-graph-2D-grid-pbc-qubitnodes_Lx-4_Ly-148_h-6,592,4144,2368,1336,890,9602,5649,954,781
condensedmatter,tfim-graph-2D-triag-nonpbc-qubitnodes_Lx-3_Ly-160_h-0.1,324,2733,1606,517,344,4157,2529,602,557
condensedmatter,tfim-graph-2D-triag-pbc-qubitnodes_Lx-13_Ly-13_h-0.1,91,910,546,223,148,1255,833,288,267
condensedmatter,tfim-graph-2D-triag-pbc-qubitnodes_Lx-19_Ly-19_h-0.5,190,1900,1140,409,272,2841,1773,438,399
discreteoptimization,TSP_Ncity-10-tsp_prob-pr76_Ncity-10_enc-unary,100,2800,1800,301,194,3409,1999,372,308
discreteoptimization,TSP_Ncity-10-tsp_prob-st70_Ncity-10_enc-unary,100,2800,1800,301,194,3409,1999,372,308
discreteoptimization,TSP_Ncity-16-tsp_prob-fl417_Ncity-16_enc-stdbinary,64,27904,24064,25749,22272,9537,5187,1870,1206
discreteoptimization,TSP_Ncity-16-tsp_prob-kroD100_Ncity-16_enc-stdbinary,64,27904,24064,25749,22272,9537,5187,1870,1206
discreteoptimization,TSP_Ncity-4-tsp_rand-002_Ncity-4_enc-stdbinary,8,176,128,136,103,112,57,54,35
discreteoptimization,TSP_Ncity-5-tsp_prob-ts225_Ncity-5_enc-unary,25,325,200,71,44,351,205,70,64
discreteoptimization,TSP_Ncity-7-tsp_prob-lin105_Ncity-7_enc-unary,49,931,588,145,92,971,591,156,139
discreteoptimization,TSP_Ncity-8-tsp_prob-d198_Ncity-8_enc-unary,64,1408,896,191,122,1478,886,178,156
discreteoptimization,TSP_Ncity-8-tsp_prob-ulysses22_Ncity-8_enc-stdbinary,24,2432,1984,2096,1733,1021,541,273,163
discreteoptimization,binary-color02-dsjc1000.1_k-3-dsjc1000.1,72,2637,1962,1094,861,1672,889,200,134
discreteoptimization,binary-graph-regular_k-5-reg-5_n-10_rinst-07,30,7345,6050,5298,4461,3302,1793,738,498
discreteoptimization,gray-color02-1-fullins_5_k-5-1-fullins_5,144,30090,24756,14974,12644,14532,8084,2424,1704
discreteoptimization,gray-color02-will199gpia_k-3-will199gpia,120,6072,4560,2459,1950,4217,2344,504,345
discreteoptimization,unary-color02-ash608gpia_k-3-ash608gpia,480,3882,2268,170,108,4814,2474,109,83
discreteoptimization,unary-color02-queen13_13_k-4-queen13_13,112,1012,600,92,58,1037,516,49,40
