program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(all2all),num_2q_gates(all2all),depth(all2all),depth_2q(all2all),num_gates(all2all_opt),num_2q_gates(all2all_opt),depth(all2all_opt),depth_2q(all2all_opt),num_gates(hhex),num_2q_gates(hhex),depth(hhex),depth_2q(hhex),num_gates(square),num_2q_gates(square),depth(square),depth_2q(square)
CH2_cmplt_BK,14,46210,19574,25135,19399,9148,5425,7651,5402,8890,4891,6794,4868,26229,16160,17153,12590,13903,7887,9623,6400
CH2_cmplt_JW,14,40128,21072,25087,19749,8627,5108,7224,5027,8767,4528,6416,4457,29354,17379,20671,14945,13748,7468,9592,6440
CH2_cmplt_P,14,45522,20514,26394,20455,10888,7096,9631,7060,10755,6623,8842,6588,30696,17841,21192,14957,14761,8957,10243,7194
CH2_frz_BK,12,24136,10228,13438,10174,5546,3353,4538,3304,5442,3146,4201,3098,13504,8392,9191,6730,10947,6738,7893,5749
CH2_frz_JW,12,20892,10344,12701,9706,4682,2693,3934,2684,4749,2385,3495,2376,12518,7511,8311,6162,7978,4414,5748,3866
CH2_frz_P,12,22430,9938,13183,9889,5695,3599,4957,3556,5619,3354,4552,3312,11848,7039,7988,5702,10023,5996,7320,5279
LiH_cmplt_BK,12,20100,8680,11289,8637,4116,2598,3531,2562,3944,2394,3175,2359,10614,7052,7713,6040,5868,3190,4157,2719
LiH_cmplt_JW,12,16192,8064,9966,7616,3603,2085,3036,2074,3677,1853,2712,1842,12414,7717,7905,5921,5480,2765,3932,2453
LiH_cmplt_P,12,17352,7640,10168,7603,4326,2778,3779,2757,4277,2635,3553,2614,10439,6278,6818,4917,5905,3229,4099,2673
LiH_frz_BK,10,3566,1442,2064,1438,959,601,825,595,969,590,812,584,1959,1210,1321,949,1370,778,926,614
LiH_frz_JW,10,3392,1616,2137,1576,776,438,643,433,785,386,570,381,2376,1509,1730,1336,1412,763,1055,703
LiH_frz_P,10,3432,1448,2022,1437,1015,615,866,615,1031,593,837,593,2048,1241,1271,904,1030,555,699,448
NH_cmplt_BK,12,19104,8004,10371,7934,3994,2319,3200,2292,3866,2110,2857,2083,9614,5965,6643,4871,5792,3287,4222,2880
NH_cmplt_JW,12,16192,8064,9941,7613,3637,2088,3065,2082,3684,1832,2704,1826,11318,6889,7873,5847,5797,3424,4528,3229
NH_cmplt_P,12,17508,7796,10275,7740,4535,2932,3972,2903,4511,2791,3737,2762,12009,7270,8447,6016,6813,3866,4744,3259
NH_frz_BK,10,10110,4178,5605,4160,2409,1433,1941,1418,2404,1387,1869,1372,6117,3722,4055,2941,3696,2071,2544,1683
NH_frz_JW,10,8432,3896,4989,3674,1966,1096,1644,1092,1987,960,1452,956,6267,3313,3950,2613,3935,2124,2741,1841
NH_frz_P,10,8500,3700,5066,3654,2407,1468,2037,1443,2375,1389,1905,1364,5332,3275,3764,2815,4166,2352,2859,1959
