program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(all2all),num_2q_gates(all2all),depth(all2all),depth_2q(all2all),num_gates(all2all_opt),num_2q_gates(all2all_opt),depth(all2all_opt),depth_2q(all2all_opt),num_gates(hhex),num_2q_gates(hhex),depth(hhex),depth_2q(hhex),num_gates(square),num_2q_gates(square),depth(square),depth_2q(square)
CH2_cmplt_BK,14,46210,19574,25135,19399,17642,9673,5543,4454,16552,9668,5285,4447,42224,31722,18425,16233,31023,21677,13738,11756
CH2_cmplt_JW,14,40128,21072,25087,19749,17190,9447,5421,4360,16161,9447,5211,4360,40850,30640,17712,15598,30111,21057,13280,11376
CH2_cmplt_P,14,45522,20514,26394,20455,16294,8702,5408,4206,15086,8701,5081,4205,37507,27769,16805,14603,27592,19224,12753,10896
CH2_frz_BK,12,24136,10228,13438,10174,8469,4492,2979,2275,7754,4492,2746,2275,19114,14284,8805,7686,14071,9741,6684,5704
CH2_frz_JW,12,20892,10344,12701,9706,8578,4640,2980,2355,8041,4640,2856,2355,20080,14897,9337,8141,14396,9828,6821,5733
CH2_frz_P,12,22430,9938,13183,9889,8084,4265,2906,2255,7458,4265,2739,2255,19942,15121,9871,8711,13018,8950,6439,5498
LiH_cmplt_BK,12,20100,8680,11289,8637,6219,3268,2240,1677,5628,3266,2039,1675,16132,12359,7951,6996,10307,7138,5008,4220
LiH_cmplt_JW,12,16192,8064,9966,7616,6390,3390,2294,1793,5928,3389,2184,1792,15880,12083,7710,6839,10440,7049,5048,4256
LiH_cmplt_P,12,17352,7640,10168,7603,6329,3333,2335,1824,5849,3332,2208,1823,14289,10459,6921,5983,10396,7005,5237,4350
LiH_frz_BK,10,3566,1442,2064,1438,1209,618,514,369,1065,617,458,368,2895,2189,1474,1281,1853,1231,1019,841
LiH_frz_JW,10,3392,1616,2137,1576,1181,624,517,402,1069,624,487,402,2870,2124,1521,1306,1936,1316,1143,951
LiH_frz_P,10,3432,1448,2022,1437,1216,608,551,412,1066,605,502,409,2743,1994,1564,1328,1895,1236,1118,902
NH_cmplt_BK,12,19104,8004,10371,7934,6156,3273,2275,1755,5631,3273,2133,1755,14391,10677,6731,5849,10297,7125,5089,4303
NH_cmplt_JW,12,16192,8064,9941,7613,6135,3262,2255,1775,5667,3262,2144,1775,14456,10662,6931,5989,10104,6922,5018,4242
NH_cmplt_P,12,17508,7796,10275,7740,6613,3502,2316,1832,6130,3502,2211,1832,15086,11102,7058,6117,10827,7333,5338,4467
NH_frz_BK,10,10110,4178,5605,4160,3314,1712,1225,944,3014,1712,1154,944,7843,5805,4114,3581,5360,3587,2729,2250
NH_frz_JW,10,8432,3896,4989,3674,3155,1647,1252,966,2889,1646,1182,965,7493,5612,3954,3451,5009,3334,2693,2254
NH_frz_P,10,8500,3700,5066,3654,3139,1632,1283,987,2865,1631,1206,986,7420,5474,3947,3418,4975,3320,2692,2244
