program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(all2all),num_2q_gates(all2all),depth(all2all),depth_2q(all2all),num_gates(all2all_opt),num_2q_gates(all2all_opt),depth(all2all_opt),depth_2q(all2all_opt),num_gates(hhex),num_2q_gates(hhex),depth(hhex),depth_2q(hhex),num_gates(square),num_2q_gates(square),depth(square),depth_2q(square)
CH2_cmplt_BK,14,46210,19574,25135,19399,5779,3839,3961,3103,8566,3817,5404,3083,22460,13051,12454,8673,16974,9042,9947,6552
CH2_cmplt_JW,14,40128,21072,25087,19749,5095,3584,3475,2812,8012,3572,4801,2804,20278,11358,11138,7894,16353,8726,9486,6419
CH2_cmplt_P,14,45522,20514,26394,20455,7051,4657,4809,3627,10002,4624,5968,3598,27115,16630,15144,10962,20695,11868,11815,8180
CH2_frz_BK,12,24136,10228,13438,10174,3201,2101,2206,1713,4697,2087,2983,1701,11998,6885,6828,4719,8942,4673,5450,3560
CH2_frz_JW,12,20892,10344,12701,9706,2662,1810,1834,1458,4158,1792,2540,1445,10028,5405,5627,3879,7870,4089,4701,3148
CH2_frz_P,12,22430,9938,13183,9889,3664,2337,2445,1789,5159,2317,3032,1772,13086,7704,7223,5100,9891,5390,5653,3788
LiH_cmplt_BK,12,20100,8680,11289,8637,2050,1277,1387,1061,2950,1251,1852,1038,6728,3601,4034,2680,5459,2703,3325,2120
LiH_cmplt_JW,12,16192,8064,9966,7616,2068,1402,1444,1149,3233,1387,1992,1135,7947,4427,4436,3152,6176,3249,3816,2568
LiH_cmplt_P,12,17352,7640,10168,7603,2780,1785,1883,1397,3848,1766,2316,1381,9998,5984,5513,3965,7539,4074,4395,2924
LiH_frz_BK,10,3566,1442,2064,1438,565,358,426,317,824,351,555,310,1874,1064,1174,802,1348,691,883,561
LiH_frz_JW,10,3392,1616,2137,1576,492,314,357,279,739,310,480,275,1706,902,991,675,1279,641,841,550
LiH_frz_P,10,3432,1448,2022,1437,647,411,476,349,897,410,578,348,2306,1372,1287,900,1640,853,1020,675
NH_cmplt_BK,12,19104,8004,10371,7934,2024,1261,1389,1052,2908,1237,1807,1029,6779,3637,4020,2693,5331,2638,3363,2136
NH_cmplt_JW,12,16192,8064,9941,7613,2089,1423,1497,1191,3255,1411,2070,1179,7676,4120,4397,3040,6186,3188,3878,2565
NH_cmplt_P,12,17508,7796,10275,7740,3129,2027,2156,1595,4425,2013,2694,1584,12520,7775,6822,4976,8483,4703,5063,3407
NH_frz_BK,10,10110,4178,5605,4160,1467,976,1079,834,2201,970,1473,828,5796,3442,3528,2511,4033,2106,2527,1660
NH_frz_JW,10,8432,3896,4989,3674,1148,763,831,652,1757,755,1136,648,4226,2307,2483,1755,3236,1701,2126,1424
NH_frz_P,10,8500,3700,5066,3654,1599,989,1084,789,2209,975,1354,777,5555,3254,3137,2204,4035,2148,2374,1571
