program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(all2all),num_2q_gates(all2all),depth(all2all),depth_2q(all2all),num_gates(all2all_opt),num_2q_gates(all2all_opt),depth(all2all_opt),depth_2q(all2all_opt),num_gates(hhex),num_2q_gates(hhex),depth(hhex),depth_2q(hhex),num_gates(square),num_2q_gates(square),depth(square),depth_2q(square)
CH2_cmplt_BK,14,46210,19574,25135,19399,9229,4141,4616,2711,8497,4114,4242,2685,28927,21762,14095,11827,20062,14216,10602,8602
CH2_cmplt_JW,14,40128,21072,25087,19749,8619,3896,4438,2588,7914,3858,4087,2557,26968,20355,13637,11439,18506,13004,9802,7862
CH2_cmplt_P,14,45522,20514,26394,20455,9412,4253,4703,2811,8733,4228,4385,2788,32123,24653,15517,13191,20848,14811,10972,8908
CH2_frz_BK,12,24136,10228,13438,10174,4118,1850,2128,1222,3745,1834,1924,1211,14028,10720,6952,5959,8015,5486,4476,3547
CH2_frz_JW,12,20892,10344,12701,9706,4265,1874,2268,1302,3835,1856,2050,1289,14499,11176,7282,6233,8118,5603,4533,3619
CH2_frz_P,12,22430,9938,13183,9889,4310,1896,2228,1293,3919,1882,2033,1280,12632,9291,6495,5376,8407,5676,4726,3731
LiH_cmplt_BK,12,20100,8680,11289,8637,3196,1348,1660,915,2831,1333,1468,903,10258,7766,5310,4510,5944,3904,3299,2570
LiH_cmplt_JW,12,16192,8064,9966,7616,3321,1418,1753,969,2983,1403,1583,954,10583,8003,5473,4643,6173,4111,3448,2718
LiH_cmplt_P,12,17352,7640,10168,7603,3484,1519,1827,1037,3147,1501,1644,1023,10089,7416,5125,4236,6625,4429,3662,2860
LiH_frz_BK,10,3566,1442,2064,1438,517,190,266,137,404,180,213,129,1144,791,599,476,726,429,412,295
LiH_frz_JW,10,3392,1616,2137,1576,592,236,302,160,497,228,251,153,1364,945,681,557,896,559,518,391
LiH_frz_P,10,3432,1448,2022,1437,610,243,365,188,520,235,310,180,1510,1041,814,650,958,599,610,454
NH_cmplt_BK,12,19104,8004,10371,7934,3438,1499,1767,1007,3135,1480,1595,987,11602,8752,5877,4958,6614,4433,3553,2765
NH_cmplt_JW,12,16192,8064,9941,7613,3553,1548,1864,1058,3231,1531,1684,1045,10498,7698,5272,4394,6810,4653,3753,3004
NH_cmplt_P,12,17508,7796,10275,7740,3468,1519,1767,1012,3151,1507,1610,1001,9798,7128,4865,3999,6654,4452,3675,2886
NH_frz_BK,10,10110,4178,5605,4160,1784,766,935,530,1611,755,852,520,5365,3833,2798,2307,3271,2161,1964,1553
NH_frz_JW,10,8432,3896,4989,3674,1635,680,879,472,1438,667,771,459,4574,3384,2459,2043,2826,1792,1673,1274
NH_frz_P,10,8500,3700,5066,3654,1693,729,940,527,1524,717,845,517,4955,3560,2747,2277,3015,1957,1767,1359
