program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(all2all),num_2q_gates(all2all),depth(all2all),depth_2q(all2all),num_gates(all2all_opt),num_2q_gates(all2all_opt),depth(all2all_opt),depth_2q(all2all_opt),num_gates(hhex),num_2q_gates(hhex),depth(hhex),depth_2q(hhex),num_gates(square),num_2q_gates(square),depth(square),depth_2q(square)
CH2_cmplt_BK,14,46210,19574,25135,19399,6105,2875,2759,1735,5336,2853,2465,1722,15533,10909,8330,6738,11322,7637,6195,4918
CH2_cmplt_JW,14,40128,21072,25087,19749,6245,2903,2711,1725,5427,2890,2420,1714,16468,11628,8593,7011,11336,7590,6029,4813
CH2_cmplt_P,14,45522,20514,26394,20455,6267,2953,2859,1812,5465,2930,2547,1797,16071,11295,8517,6918,11661,7919,6488,5173
CH2_frz_BK,12,24136,10228,13438,10174,3418,1586,1632,1027,2979,1571,1444,1015,8533,5815,4645,3702,6041,3967,3494,2737
CH2_frz_JW,12,20892,10344,12701,9706,3525,1629,1509,972,3089,1614,1367,961,8855,6058,4633,3709,6243,4189,3365,2719
CH2_frz_P,12,22430,9938,13183,9889,3376,1565,1566,988,2943,1546,1372,965,8167,5634,4541,3648,5867,3842,3273,2594
LiH_cmplt_BK,12,20100,8680,11289,8637,2666,1252,1233,773,2323,1240,1086,763,6816,4775,3677,2988,4732,3165,2786,2217
LiH_cmplt_JW,12,16192,8064,9966,7616,2739,1228,1195,760,2357,1223,1065,756,6794,4779,3624,2941,4775,3170,2690,2135
LiH_cmplt_P,12,17352,7640,10168,7603,2688,1243,1217,759,2324,1228,1063,744,6725,4635,3518,2820,4674,3115,2642,2103
LiH_frz_BK,10,3566,1442,2064,1438,672,281,320,190,546,270,264,176,1474,1014,786,639,1047,644,598,454
LiH_frz_JW,10,3392,1616,2137,1576,662,281,289,176,534,277,250,173,1597,1146,860,715,1043,665,587,459
LiH_frz_P,10,3432,1448,2022,1437,673,303,328,207,563,292,276,193,1714,1188,1000,802,1097,729,688,542
NH_cmplt_BK,12,19104,8004,10371,7934,2599,1192,1231,762,2273,1180,1090,752,6169,4268,3455,2789,4363,2844,2506,1973
NH_cmplt_JW,12,16192,8064,9941,7613,2583,1181,1162,743,2265,1170,1048,734,6589,4562,3641,2957,4427,2883,2447,1918
NH_cmplt_P,12,17508,7796,10275,7740,2639,1236,1245,801,2322,1231,1121,798,6911,4864,3809,3093,4556,2992,2596,2033
NH_frz_BK,10,10110,4178,5605,4160,1475,647,716,429,1255,634,614,419,3511,2414,2009,1612,2374,1476,1365,1034
NH_frz_JW,10,8432,3896,4989,3674,1474,658,690,444,1277,647,615,437,3528,2441,2003,1628,2405,1542,1432,1127
NH_frz_P,10,8500,3700,5066,3654,1442,667,714,459,1261,651,634,449,3435,2365,2060,1669,2438,1513,1505,1166
