program,num_su4(tket),depth_su4(tket),num_su4(paulihedral),depth_su4(paulihedral),num_su4(tetris),depth_su4(tetris),num_su4(phoenix),depth_su4(phoenix)
CH2_cmplt_BK,6454,5787,4617,4601,6013,5847,3521,2959
CH2_cmplt_JW,6134,5282,4126,4062,6235,5936,3487,2895
CH2_frz_BK,3636,3276,3038,2998,3298,3285,1902,1632
CH2_frz_JW,2942,2593,2170,2162,3344,3067,1876,1586
H2O_cmplt_BK,4678,4131,3051,3037,4092,4083,2368,2010
H2O_cmplt_JW,4336,3783,2800,2798,4228,3922,2340,1969
LiH_cmplt_BK,2867,2638,2319,2293,2315,2250,1307,1121
LiH_cmplt_JW,2104,1842,1682,1673,2537,2308,1446,1234
LiH_frz_BK,493,456,566,562,638,627,348,315
LiH_frz_JW,409,373,347,343,532,530,320,293
NH_cmplt_BK,2937,2605,2008,1991,2314,2300,1257,1051
NH_cmplt_JW,2576,2221,1652,1647,2583,2356,1460,1249
NH_frz_BK,1582,1407,1346,1333,1535,1527,878,767
NH_frz_JW,1331,1136,864,861,1394,1272,788,676
