program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(all2all),num_2q_gates(all2all),depth(all2all),depth_2q(all2all),num_gates(all2all_opt),num_2q_gates(all2all_opt),depth(all2all_opt),depth_2q(all2all_opt),num_gates(hhex),num_2q_gates(hhex),depth(hhex),depth_2q(hhex),num_gates(square),num_2q_gates(square),depth(square),depth_2q(square)
CH2_cmplt_BK,14,46210,19574,25135,19399,18108,9634,13259,9377,14580,7118,10649,6937,24306,13896,15839,10775,20764,11966,13898,9517
CH2_cmplt_JW,14,40128,21072,25087,19749,19654,10774,14224,10302,15291,6874,10458,6554,25411,14487,16261,11321,21512,11967,13719,9439
CH2_cmplt_P,14,45522,20514,26394,20455,19372,10702,13796,10344,14522,7210,10337,6949,22383,12915,13646,9347,20871,12115,13351,9265
CH2_frz_BK,12,24136,10228,13438,10174,9992,5302,7526,5283,8070,3915,6005,3900,12400,7072,7963,5403,10704,6078,7239,4935
CH2_frz_JW,12,20892,10344,12701,9706,10736,5804,7482,5372,8371,3715,5512,3422,12958,6987,8287,5534,11487,6254,7220,4903
CH2_frz_P,12,22430,9938,13183,9889,10230,5608,7355,5397,8041,3954,5690,3780,11723,6533,7091,4760,10480,5984,6543,4459
LiH_cmplt_BK,12,20100,8680,11289,8637,7164,3820,5364,3710,5917,2725,4220,2637,8204,4313,5369,3481,7779,4196,5272,3514
LiH_cmplt_JW,12,16192,8064,9966,7616,8294,4486,5748,4128,6431,2834,4195,2593,10349,5730,6417,4394,8766,4701,5263,3598
LiH_cmplt_P,12,17352,7640,10168,7603,7992,4368,5837,4255,6357,3162,4597,3073,9328,5363,5801,3976,8168,4604,5148,3501
LiH_frz_BK,10,3566,1442,2064,1438,1794,948,1340,937,1474,754,1095,743,2107,1104,1249,831,1843,1106,1264,895
LiH_frz_JW,10,3392,1616,2137,1576,1810,962,1345,957,1409,611,987,608,2001,1087,1268,849,1916,988,1168,776
LiH_frz_P,10,3432,1448,2022,1437,1822,938,1332,929,1522,775,1112,766,2174,1299,1341,958,1943,1071,1232,840
NH_cmplt_BK,12,19104,8004,10371,7934,7186,3876,5542,3854,5803,2711,4304,2693,8147,4164,5452,3475,7280,3840,4921,3202
NH_cmplt_JW,12,16192,8064,9941,7613,8294,4486,5747,4128,6473,2880,4247,2641,8815,5058,5647,3941,9000,4982,5821,4015
NH_cmplt_P,12,17508,7796,10275,7740,8146,4396,5700,4207,6124,3041,4320,2904,8878,5144,5471,3756,8712,5110,5582,3889
NH_frz_BK,10,10110,4178,5605,4160,4540,2448,3413,2437,3603,1804,2692,1795,5540,3227,3456,2413,4930,2777,3191,2173
NH_frz_JW,10,8432,3896,4989,3674,4562,2426,3153,2236,3578,1570,2345,1439,4734,2564,3158,2151,5004,2771,3358,2333
NH_frz_P,10,8500,3700,5066,3654,4246,2266,3033,2174,3336,1617,2343,1541,4866,2742,3025,2056,4728,2696,3128,2151
