program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(all2all),num_2q_gates(all2all),depth(all2all),depth_2q(all2all),num_gates(all2all_opt),num_2q_gates(all2all_opt),depth(all2all_opt),depth_2q(all2all_opt),num_gates(hhex),num_2q_gates(hhex),depth(hhex),depth_2q(hhex),num_gates(square),num_2q_gates(square),depth(square),depth_2q(square)
CH2_cmplt_BK,14,46210,19574,25135,19399,5756,2271,2627,1289,5429,2258,2332,1283,14169,8813,7068,5396,10573,5977,5525,3953
CH2_cmplt_JW,14,40128,21072,25087,19749,5736,2244,2629,1259,5335,2232,2313,1253,13800,8426,7032,5305,10231,5676,5276,3691
CH2_cmplt_P,14,45522,20514,26394,20455,5948,2273,2678,1266,5498,2261,2345,1259,13996,8442,6881,5119,10563,5880,5334,3778
CH2_frz_BK,12,24136,10228,13438,10174,3083,1198,1402,679,2863,1189,1245,674,7029,4248,3537,2659,5291,2921,2825,1983
CH2_frz_JW,12,20892,10344,12701,9706,3246,1261,1425,688,2986,1249,1252,679,7548,4473,3630,2692,5686,3073,2833,1977
CH2_frz_P,12,22430,9938,13183,9889,3124,1223,1404,701,2926,1215,1289,697,7246,4433,3780,2845,5338,2993,2809,2017
LiH_cmplt_BK,12,20100,8680,11289,8637,2493,949,1257,583,2228,938,1063,572,5738,3464,2870,2112,4291,2353,2275,1553
LiH_cmplt_JW,12,16192,8064,9966,7616,2372,932,1129,551,2207,922,1004,543,5868,3684,2983,2275,4159,2276,2180,1506
LiH_cmplt_P,12,17352,7640,10168,7603,2490,961,1197,574,2275,951,1055,570,5878,3603,2864,2112,4305,2388,2318,1608
LiH_frz_BK,10,3566,1442,2064,1438,559,228,303,141,526,220,257,136,1389,852,678,517,936,523,500,355
LiH_frz_JW,10,3392,1616,2137,1576,565,218,286,139,527,212,259,137,1341,811,701,527,897,473,490,335
LiH_frz_P,10,3432,1448,2022,1437,604,216,305,145,503,211,260,142,1374,859,722,556,937,509,532,372
NH_cmplt_BK,12,19104,8004,10371,7934,2593,1008,1144,569,2458,997,1020,562,6055,3639,3069,2290,4570,2440,2347,1617
NH_cmplt_JW,12,16192,8064,9941,7613,2627,1036,1133,568,2457,1027,1013,565,6061,3650,3142,2338,4517,2516,2292,1629
NH_cmplt_P,12,17508,7796,10275,7740,2486,1005,1038,547,2436,997,973,543,6148,3655,2959,2227,4548,2447,2293,1590
NH_frz_BK,10,10110,4178,5605,4160,1364,547,611,312,1311,540,556,309,3396,2109,1922,1468,2374,1293,1304,921
NH_frz_JW,10,8432,3896,4989,3674,1430,546,628,311,1323,537,550,302,3367,2037,1721,1317,2362,1265,1292,905
NH_frz_P,10,8500,3700,5066,3654,1355,537,589,317,1325,531,564,314,3272,1997,1741,1316,2302,1221,1248,870
